medal_date,medal_type,medal_code,name,gender,country,country_code,nationality,team,team_gender,discipline,event,event_type,url_event,birth_date,code
2024-07-27,Bronze Medal,3,BOUKLI Shirine,Female,France,FRA,France,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000100--,1999-01-24,1891280
2024-07-27,Bronze Medal,3,BABULFATH Tara,Female,Sweden,SWE,Sweden,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000200--,2006-01-03,1571911
2024-07-27,Gold Medal,1,MAERTENS Lukas,Male,Germany,GER,Germany,,,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,2001-12-27,1907192
2024-07-27,Silver Medal,2,WINNINGTON Elijah,Male,Australia,AUS,Australia,,,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,2000-05-05,1946172
2024-07-27,Bronze Medal,3,KIM Woomin,Male,Korea,KOR,Korea,,,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,2001-08-24,4654306
2024-07-27,Gold Medal,1,TITMUS Ariarne,Female,Australia,AUS,Australia,,,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,2000-09-07,1946150
2024-07-27,Silver Medal,2,McINTOSH Summer,Female,Canada,CAN,Canada,,,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,2006-08-18,1967140
2024-07-27,Bronze Medal,3,LEDECKY Katie,Female,United States,USA,United States,,,Swimming,Women's 400m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-400m-freestyle/fnl-000100--,1997-03-17,1935938
2024-07-28,Gold Medal,1,FOX Jessica,Female,Australia,AUS,Australia,,,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1994-06-11,1940205
2024-07-28,Silver Medal,2,ZWOLINSKA Klaudia,Female,Poland,POL,Poland,,,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1998-12-18,1942126
2024-07-28,Bronze Medal,3,WOODS Kimberley,Female,Great Britain,GBR,Great Britain,,,Canoe Slalom,Women's Kayak Single,ATH,/en/paris-2024/results/canoe-slalom/women-s-kayak-single/fnl-000100--,1995-09-08,1896045
2024-07-28,Gold Medal,1,FERRAND PREVOT Pauline,Female,France,FRA,France,,,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1992-02-10,1895672
2024-07-28,Silver Medal,2,BATTEN Haley,Female,United States,USA,United States,,,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1998-09-19,1955070
2024-07-28,Bronze Medal,3,RISSVEDS Jenny,Female,Sweden,SWE,Sweden,,,Cycling Mountain Bike,Women's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/women-s-cross-country/fnl-000100--,1994-06-06,1564023
2024-07-28,Gold Medal,1,KANO Koki,Male,Japan,JPN,Japan,,,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--,1997-12-19,1896548
2024-07-28,Silver Medal,2,BOREL Yannick,Male,France,FRA,France,,,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000100--,1988-11-05,1916194
2024-07-28,Bronze Medal,3,ELSAYED Mohamed,Male,Egypt,EGY,Egypt,,,Fencing,Men's Épée Individual,HATH,/en/paris-2024/results/fencing/men-s-epee-individual/fnl-000200--,2003-03-03,1936462
2024-07-28,Gold Medal,1,KIEFER Lee,Female,United States,USA,United States,,,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--,1994-06-15,1950611
2024-07-28,Silver Medal,2,SCRUGGS Lauren,Female,United States,USA,United States,,,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000100--,2003-01-27,1950643
2024-07-28,Bronze Medal,3,HARVEY Eleanor,Female,Canada,CAN,Canada,,,Fencing,Women's Foil Individual,HATH,/en/paris-2024/results/fencing/women-s-foil-individual/fnl-000200--,1995-01-14,1973213
2024-07-28,Gold Medal,1,ABE Hifumi,Male,Japan,JPN,Japan,,,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/fnl-000100--,1997-08-09,1896763
2024-07-28,Silver Medal,2,LIMA Willian,Male,Brazil,BRA,Brazil,,,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/fnl-000100--,2000-01-31,1953840
2024-07-28,Bronze Medal,3,KYRGYZBAYEV Gusman,Male,Kazakhstan,KAZ,Kazakhstan,,,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/repf000100--,1992-09-28,1935410
2024-07-28,Bronze Medal,3,VIERU Denis,Male,Republic of Moldova,MDA,Republic of Moldova,,,Judo,Men -66 kg,HATH,/en/paris-2024/results/judo/men--66-kg/repf000200--,1996-03-10,1561138
2024-07-28,Gold Medal,1,KELDIYOROVA Diyora,Female,Uzbekistan,UZB,Uzbekistan,,,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/fnl-000100--,1998-07-13,1566997
2024-07-28,Silver Medal,2,KRASNIQI Distria,Female,Kosovo,KOS,Kosovo,,,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/fnl-000100--,1995-12-10,1550162
2024-07-28,Bronze Medal,3,PIMENTA Larissa,Female,Brazil,BRA,Brazil,,,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000100--,1999-03-01,1953817
2024-07-28,Bronze Medal,3,BUCHARD Amandine,Female,France,FRA,France,,,Judo,Women -52 kg,HATH,/en/paris-2024/results/judo/women--52-kg/repf000200--,1995-07-12,1891283
2024-07-28,Gold Medal,1,XIE Yu,Male,China,CHN,China,,,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,2000-06-12,1913907
2024-07-28,Silver Medal,2,MALDINI Federico Nilo,Male,Italy,ITA,Italy,,,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,2001-03-28,1551388
2024-07-28,Bronze Medal,3,MONNA Paolo,Male,Italy,ITA,Italy,,,Shooting,10m Air Pistol Men,ATH,/en/paris-2024/results/shooting/10m-air-pistol-men/fnl-000100--,1998-04-19,1551387
2024-07-28,Gold Medal,1,OH Ye Jin,Female,Korea,KOR,Korea,,,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,2005-05-10,1893972
2024-07-28,Silver Medal,2,KIM Yeji,Female,Korea,KOR,Korea,,,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,1992-09-04,1893930
2024-07-28,Bronze Medal,3,BHAKER Manu,Female,India,IND,India,,,Shooting,10m Air Pistol Women,ATH,/en/paris-2024/results/shooting/10m-air-pistol-women/fnl-000100--,2002-02-18,1538159
2024-07-28,Gold Medal,1,YOSHIZAWA Coco,Female,Japan,JPN,Japan,,,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,2009-09-22,1902055
2024-07-28,Silver Medal,2,AKAMA Liz,Female,Japan,JPN,Japan,,,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,2009-01-08,1902069
2024-07-28,Bronze Medal,3,LEAL Rayssa,Female,Brazil,BRA,Brazil,,,Skateboarding,Women's Street,ATH,/en/paris-2024/results/skateboarding/women-s-street/fnl-000100--,2008-01-04,1955689
2024-07-28,Gold Medal,1,MARTINENGHI Nicolo,Male,Italy,ITA,Italy,,,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1999-08-01,1925633
2024-07-28,Silver Medal,2,PEATY Adam,Male,Great Britain,GBR,Great Britain,,,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1994-12-28,1956469
2024-07-28,Silver Medal,2,FINK Nic,Male,United States,USA,United States,,,Swimming,Men's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/men-s-100m-breaststroke/fnl-000100--,1993-07-03,1935901
2024-07-28,Gold Medal,1,MARCHAND Leon,Male,France,FRA,France,,,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,2002-05-17,1909294
2024-07-28,Silver Medal,2,MATSUSHITA Tomoyuki,Male,Japan,JPN,Japan,,,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,2005-08-01,1963635
2024-07-28,Bronze Medal,3,FOSTER Carson,Male,United States,USA,United States,,,Swimming,Men's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/men-s-400m-individual-medley/fnl-000100--,2001-10-26,1935903
2024-07-28,Gold Medal,1,HUSKE Torri,Female,United States,USA,United States,,,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,2002-12-07,1935923
2024-07-28,Silver Medal,2,WALSH Gretchen,Female,United States,USA,United States,,,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,2003-01-29,1935998
2024-07-28,Bronze Medal,3,ZHANG Yufei,Female,China,CHN,China,,,Swimming,Women's 100m Butterfly,ATH,/en/paris-2024/results/swimming/women-s-100m-butterfly/fnl-000100--,1998-04-19,1945125
2024-07-29,Gold Medal,1,GESTIN Nicolas,Male,France,FRA,France,,,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,2000-03-14,1880479
2024-07-29,Silver Medal,2,BURGESS Adam,Male,Great Britain,GBR,Great Britain,,,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1992-07-17,1896030
2024-07-29,Bronze Medal,3,BENUS Matej,Male,Slovakia,SVK,Slovakia,,,Canoe Slalom,Men's Canoe Single,ATH,/en/paris-2024/results/canoe-slalom/men-s-canoe-single/fnl-000100--,1987-11-02,1961080
2024-07-29,Gold Medal,1,PIDCOCK Thomas,Male,Great Britain,GBR,Great Britain,,,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1999-07-30,1912546
2024-07-29,Silver Medal,2,KORETZKY Victor,Male,France,FRA,France,,,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1994-08-26,1895687
2024-07-29,Bronze Medal,3,HATHERLY Alan,Male,South Africa,RSA,South Africa,,,Cycling Mountain Bike,Men's Cross-country,ATH,/en/paris-2024/results/cycling-mountain-bike/men-s-cross-country/fnl-000100--,1996-03-15,1943604
2024-07-29,Gold Medal,1,JUNG Michael,Male,Germany,GER,Germany,,,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1982-07-31,1914921
2024-07-29,Silver Medal,2,BURTON Christopher,Male,Australia,AUS,Australia,,,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1981-11-22,1940438
2024-07-29,Bronze Medal,3,COLLETT Laura,Female,Great Britain,GBR,Great Britain,,,Equestrian,Eventing Individual,ATH,/en/paris-2024/results/equestrian/eventing-individual/jump000100--,1989-08-31,1970898
2024-07-29,Gold Medal,1,CHEUNG Ka Long,Male,"Hong Kong, China",HKG,"Hong Kong, China",,,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--,1997-06-10,1963245
2024-07-29,Silver Medal,2,MACCHI Filippo,Male,Italy,ITA,Italy,,,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000100--,2001-09-19,1924289
2024-07-29,Bronze Medal,3,ITKIN Nick,Male,United States,USA,United States,,,Fencing,Men's Foil Individual,HATH,/en/paris-2024/results/fencing/men-s-foil-individual/fnl-000200--,1999-10-09,1950602
2024-07-29,Gold Medal,1,APITHY-BRUNET Manon,Female,France,FRA,France,,,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--,1996-02-07,1916223
2024-07-29,Silver Medal,2,BALZER Sara,Female,France,FRA,France,,,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000100--,1995-04-03,1916222
2024-07-29,Bronze Medal,3,KHARLAN Olga,Female,Ukraine,UKR,Ukraine,,,Fencing,Women's Sabre Individual,HATH,/en/paris-2024/results/fencing/women-s-sabre-individual/fnl-000200--,1990-09-04,1897644
2024-07-29,Gold Medal,1,HEYDAROV Hidayat,Male,Azerbaijan,AZE,Azerbaijan,,,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/fnl-000100--,1997-07-27,1972337
2024-07-29,Silver Medal,2,GABA Joan-Benjamin,Male,France,FRA,France,,,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/fnl-000100--,2001-01-07,1891311
2024-07-29,Bronze Medal,3,OSMANOV Adil,Male,Republic of Moldova,MDA,Republic of Moldova,,,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/repf000100--,2000-07-02,1563437
2024-07-29,Bronze Medal,3,HASHIMOTO Soichi,Male,Japan,JPN,Japan,,,Judo,Men -73 kg,HATH,/en/paris-2024/results/judo/men--73-kg/repf000200--,1991-08-24,1896740
2024-07-29,Gold Medal,1,DEGUCHI Christa,Female,Canada,CAN,Canada,,,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/fnl-000100--,1995-10-29,1955526
2024-07-29,Silver Medal,2,HUH Mimi,Female,Korea,KOR,Korea,,,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/fnl-000100--,2002-12-19,1928067
2024-07-29,Bronze Medal,3,FUNAKUBO Haruka,Female,Japan,JPN,Japan,,,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/repf000100--,1998-10-10,1896733
2024-07-29,Bronze Medal,3,CYSIQUE Sarah Leonie,Female,France,FRA,France,,,Judo,Women -57 kg,HATH,/en/paris-2024/results/judo/women--57-kg/repf000200--,1998-07-06,1891286
2024-07-29,Gold Medal,1,SHENG Lihao,Male,China,CHN,China,,,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,2004-12-04,1913899
2024-07-29,Silver Medal,2,LINDGREN Victor,Male,Sweden,SWE,Sweden,,,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,2003-05-16,1572919
2024-07-29,Bronze Medal,3,MARICIC Miran,Male,Croatia,CRO,Croatia,,,Shooting,10m Air Rifle Men,ATH,/en/paris-2024/results/shooting/10m-air-rifle-men/fnl-000100--,1997-06-17,1888047
2024-07-29,Gold Medal,1,BAN Hyojin,Female,Korea,KOR,Korea,,,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,2007-09-20,1893845
2024-07-29,Silver Medal,2,HUANG Yuting,Female,China,CHN,China,,,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,2006-09-03,1913945
2024-07-29,Bronze Medal,3,GOGNIAT Audrey,Female,Switzerland,SUI,Switzerland,,,Shooting,10m Air Rifle Women,ATH,/en/paris-2024/results/shooting/10m-air-rifle-women/fnl-000100--,2002-10-30,1976545
2024-07-29,Gold Medal,1,HORIGOME Yuto,Male,Japan,JPN,Japan,,,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1999-01-07,1902081
2024-07-29,Silver Medal,2,EATON Jagger,Male,United States,USA,United States,,,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,2001-02-21,1944226
2024-07-29,Bronze Medal,3,HUSTON Nyjah,Male,United States,USA,United States,,,Skateboarding,Men's Street,ATH,/en/paris-2024/results/skateboarding/men-s-street/fnl-000100--,1994-11-30,1944232
2024-07-29,Gold Medal,1,CECCON Thomas,Male,Italy,ITA,Italy,,,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,2001-01-27,1925635
2024-07-29,Silver Medal,2,XU Jiayu,Male,China,CHN,China,,,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1995-08-19,1945132
2024-07-29,Bronze Medal,3,MURPHY Ryan,Male,United States,USA,United States,,,Swimming,Men's 100m Backstroke,ATH,/en/paris-2024/results/swimming/men-s-100m-backstroke/fnl-000100--,1995-07-02,1935957
2024-07-29,Gold Medal,1,POPOVICI David,Male,Romania,ROU,Romania,,,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,2004-09-15,1543549
2024-07-29,Silver Medal,2,RICHARDS Matthew,Male,Great Britain,GBR,Great Britain,,,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,2002-12-17,1903617
2024-07-29,Bronze Medal,3,HOBSON Luke,Male,United States,USA,United States,,,Swimming,Men's 200m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-200m-freestyle/fnl-000100--,2003-06-25,1935918
2024-07-29,Gold Medal,1,SMITH Tatjana,Female,South Africa,RSA,South Africa,,,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,1997-07-09,1962589
2024-07-29,Silver Medal,2,TANG Qianting,Female,China,CHN,China,,,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,2004-03-14,1945200
2024-07-29,Bronze Medal,3,Mc SHARRY Mona,Female,Ireland,IRL,Ireland,,,Swimming,Women's 100m Breaststroke,ATH,/en/paris-2024/results/swimming/women-s-100m-breaststroke/fnl-000100--,2000-08-21,1543304
2024-07-29,Gold Medal,1,O'CALLAGHAN Mollie,Female,Australia,AUS,Australia,,,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,2004-04-02,1946218
2024-07-29,Silver Medal,2,TITMUS Ariarne,Female,Australia,AUS,Australia,,,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,2000-09-07,1946150
2024-07-29,Bronze Medal,3,HAUGHEY Siobhan Bernadette,Female,"Hong Kong, China",HKG,"Hong Kong, China",,,Swimming,Women's 200m Freestyle,ATH,/en/paris-2024/results/swimming/women-s-200m-freestyle/fnl-000100--,1997-10-31,1925125
2024-07-29,Gold Medal,1,McINTOSH Summer,Female,Canada,CAN,Canada,,,Swimming,Women's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--,2006-08-18,1967140
2024-07-29,Silver Medal,2,GRIMES Katie,Female,United States,USA,United States,,,Swimming,Women's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--,2006-01-08,1935909
2024-07-29,Bronze Medal,3,WEYANT Emma,Female,United States,USA,United States,,,Swimming,Women's 400m Individual Medley,ATH,/en/paris-2024/results/swimming/women-s-400m-individual-medley/fnl-000100--,2001-12-24,1936001
2024-07-30,Gold Medal,1,NAGASE Takanori,Male,Japan,JPN,Japan,,,Judo,Men -81 kg,HATH,/en/paris-2024/results/judo/men--81-kg/fnl-000100--,1993-10-14,1896765
2024-07-30,Silver Medal,2,GRIGALASHVILI Tato,Male,Georgia,GEO,Georgia,,,Judo,Men -81 kg,HATH,/en/paris-2024/results/judo/men--81-kg/fnl-000100--,1999-12-01,1546651
2024-07-30,Bronze Medal,3,LEE Joonhwan,Male,Korea,KOR,Korea,,,Judo,Men -81 kg,HATH,/en/paris-2024/results/judo/men--81-kg/repf000100--,2002-06-19,1928079
2024-07-30,Bronze Medal,3,MAKHMADBEKOV Somon,Male,Tajikistan,TJK,Tajikistan,,,Judo,Men -81 kg,HATH,/en/paris-2024/results/judo/men--81-kg/repf000200--,1999-03-24,1570561
2024-07-30,Gold Medal,1,LESKI Andreja,Female,Slovenia,SLO,Slovenia,,,Judo,Women -63 kg,HATH,/en/paris-2024/results/judo/women--63-kg/fnl-000100--,1997-01-08,1980833
2024-07-30,Silver Medal,2,AWITI ALCARAZ Prisca,Female,Mexico,MEX,Mexico,,,Judo,Women -63 kg,HATH,/en/paris-2024/results/judo/women--63-kg/fnl-000100--,1996-02-20,1537287
2024-07-30,Bronze Medal,3,AGBEGNENOU Clarisse,Female,France,FRA,France,,,Judo,Women -63 kg,HATH,/en/paris-2024/results/judo/women--63-kg/repf000100--,1992-10-25,1891289
2024-07-30,Bronze Medal,3,FAZLIU Laura,Female,Kosovo,KOS,Kosovo,,,Judo,Women -63 kg,HATH,/en/paris-2024/results/judo/women--63-kg/repf000200--,2000-09-28,1550167
2024-07-30,Gold Medal,1,HALES Nathan,Male,Great Britain,GBR,Great Britain,,,Shooting,Trap Men,ATH,/en/paris-2024/results/shooting/trap-men/fnl-000100--,1996-06-16,1904430
2024-07-30,Silver Medal,2,QI Ying,Male,China,CHN,China,,,Shooting,Trap Men,ATH,/en/paris-2024/results/shooting/trap-men/fnl-000100--,1997-01-23,1913928
2024-07-30,Bronze Medal,3,BROL CARDENAS Jean Pierre,Male,Guatemala,GUA,Guatemala,,,Shooting,Trap Men,ATH,/en/paris-2024/results/shooting/trap-men/fnl-000100--,1982-12-18,1958970
2024-07-30,Gold Medal,1,WIFFEN Daniel,Male,Ireland,IRL,Ireland,,,Swimming,Men's 800m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-800m-freestyle/fnl-000100--,2001-07-14,1539969
2024-07-30,Silver Medal,2,FINKE Bobby,Male,United States,USA,United States,,,Swimming,Men's 800m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-800m-freestyle/fnl-000100--,1999-11-06,1935902
2024-07-30,Bronze Medal,3,PALTRINIERI Gregorio,Male,Italy,ITA,Italy,,,Swimming,Men's 800m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-800m-freestyle/fnl-000100--,1994-09-05,1925630
2024-07-30,Gold Medal,1,McKEOWN Kaylee,Female,Australia,AUS,Australia,,,Swimming,Women's 100m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-100m-backstroke/fnl-000100--,2001-07-12,1946198
2024-07-30,Silver Medal,2,SMITH Regan,Female,United States,USA,United States,,,Swimming,Women's 100m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-100m-backstroke/fnl-000100--,2002-02-09,1935984
2024-07-30,Bronze Medal,3,BERKOFF Katharine,Female,United States,USA,United States,,,Swimming,Women's 100m Backstroke,ATH,/en/paris-2024/results/swimming/women-s-100m-backstroke/fnl-000100--,2001-01-28,1935873
