formula,categoria,descripcion,url,sintaxis,nombreFormula,idioma
AHORA,Fecha y hora,Devuelve el número de serie de la fecha y hora actuales.,https://support.microsoft.com/es-es/office/funci%C3%B3n-ahora-3337fd29-145a-4347-b2e6-20c904739c46,AHORA(),AHORA,es-es
ALEAT.,Matemáticas y trigonometría,Devuelve un número aleatorio entre 0 y 1.,https://support.microsoft.com/es-es/office/aleatorio-funci%C3%B3n-aleatorio-4cbfa695-8869-4788-8d90-021ea9f5be73,=ALEAT()*(b-a)+a,ALEATORIO,es-es
ALEATORIO.ENTRE,Matemáticas y trigonometría,Devuelve un número aleatorio entre los números especificados.,https://support.microsoft.com/es-es/office/funci%C3%B3n-aleatorio-entre-4cc7f0d1-87dc-4eb7-987f-a469ab381685,"ALEATORIO.ENTRE(inferior, superior)",ALEATORIO.ENTRE,es-es
AMORTIZ.LIN,Finanzas,Devuelve la depreciación de cada período contable.,https://support.microsoft.com/es-es/office/amortiz-lin-funci%C3%B3n-amortiz-lin-7d417b45-f7f5-4dba-a0a5-3451a81079a8,AMORTIZ.LIN(costo; fecha_compra; primer_período; costo_residual; período; tasa; [base]),AMORTIZ.LIN,es-es
AMORTIZ.PROGRE,Finanzas,Devuelve la depreciación de cada período contable mediante un coeficiente de depreciación.,https://support.microsoft.com/es-es/office/funci%C3%B3n-amortiz-progre-a14d0ca1-64a4-42eb-9b3d-b0dededf9e51,AMORTIZ.PROGRE(costo; fecha_compra; primer_período; costo_residual; período; tasa; [base]),AMORTIZ.PROGRE,es-es
AÑO,Fecha y hora,Convierte un número de serie en un año.,https://support.microsoft.com/es-es/office/funci%C3%B3n-a%C3%B1o-c64f017a-1354-490d-981f-578e8ec8d3b9,=AÑO(),AÑO,es-es
AREAS,Búsqueda y referencia,Devuelve el número de áreas de una referencia.,https://support.microsoft.com/es-es/office/funci%C3%B3n-areas-8392ba32-7a41-43b3-96b0-3695d2ec6152,AREAS(ref),AREAS,es-es
ASC,Texto,Cambia las letras inglesas o katakana de ancho completo (doble byte) en una cadena de caracteres por caracteres de ancho medio (bit sencillo).,https://support.microsoft.com/es-es/office/asc-funci%C3%B3n-asc-0b6abf1c-c663-4004-a964-ebc00b723266,ASC(texto),ASC,es-es
ASENO,Matemáticas y trigonometría,Devuelve el arcoseno de un número.,https://support.microsoft.com/es-es/office/funci%C3%B3n-aseno-81fb95e5-6d6f-48c4-bc45-58f955c6d347,ASENO(número),ASENO,es-es
ASENOH,Matemáticas y trigonometría,Devuelve el seno hiperbólico inverso de un número.,https://support.microsoft.com/es-es/office/funci%C3%B3n-asinh-4e00475a-067a-43cf-926a-765b0249717c,ASENOH(número),ASINH,es-es
ATAN,Matemáticas y trigonometría,Devuelve el arco tangente de un número.,https://support.microsoft.com/es-es/office/funci%C3%B3n-atan-50746fa8-630a-406b-81d0-4a2aed395543,ATAN(número),ATAN,es-es
ATAN2,Matemáticas y trigonometría,Devuelve el arco tangente de las coordenadas x e y,https://support.microsoft.com/es-es/office/atan2-funci%C3%B3n-atan2-c04592ab-b9e3-4908-b428-c96b3a565033,ATAN2(coord_x; coord_y),ATAN2,es-es
ATANH,Matemáticas y trigonometría,.Devuelve la tangente hiperbólica inversa de un número.,https://support.microsoft.com/es-es/office/atanh-funci%C3%B3n-atanh-3cd65768-0de7-4f1d-b312-d01c8c930d90,ATANH(número),ATANH,es-es
BASE,Matemáticas y trigonometría,Convierte un número en una representación de texto con la base dada.,https://support.microsoft.com/es-es/office/base-funci%C3%B3n-base-2ef61411-aee9-4f29-a811-1c42456c6342,BASE(Número; Base [Long_mín]),BASE,es-es
BDCONTAR,Base de datos,Cuenta las celdas que contienen números en una base de datos.,https://support.microsoft.com/es-es/office/bdcontar-funci%C3%B3n-bdcontar-c1fc7b93-fb0d-4d8d-97db-8d5f076eaeb1,BDCONTAR(base_de_datos; nombre_de_campo; criterios),BDCONTAR,es-es
BDCONTARA,Base de datos,Cuenta las celdas que no están en blanco en una base de datos,https://support.microsoft.com/es-es/office/funci%C3%B3n-bdcontara-00232a6d-5a66-4a01-a25b-c1653fda1244,"BDCONTARA(base de datos, campo, criterios)",BDCONTARA,es-es
BDDESVEST,Base de datos,Calcula la desviación estándar en función de una muestra de entradas seleccionadas de una base de datos.,https://support.microsoft.com/es-es/office/funci%C3%B3n-bddesvest-026b8c73-616d-4b5e-b072-241871c4ab96,"BDDESVEST(base_de_datos, nombre_de_campo, criterios)",BDDESVEST,es-es
BDDESVESTP,Base de datos,Calcula la desviación estándar en función de toda la población de entradas seleccionadas de una base de datos.,https://support.microsoft.com/es-es/office/bddesvestp-funci%C3%B3n-bddesvestp-04b78995-da03-4813-bbd9-d74fd0f5d94b,"BDDESVESTP(base de datos, campo, criterios)",BDDESVESTP,es-es
BDEXTRAER,Base de datos,Extrae de una base de datos un único registro que coincida con los criterios especificados.,https://support.microsoft.com/es-es/office/bdextraer-funci%C3%B3n-bdextraer-455568bf-4eef-45f7-90f0-ec250d00892e,"BDEXTRAER(base_de_datos, nombre_de_campo, criterios)",BDEXTRAER,es-es
BDMAX,Base de datos,Devuelve el valor máximo de las entradas seleccionadas de una base de datos.,https://support.microsoft.com/es-es/office/funci%C3%B3n-bdmax-f4e8209d-8958-4c3d-a1ee-6351665d41c2,"BDMAX(base_de_datos, nombre_de_campo, criterios)",BDMAX,es-es
BDMIN,Base de datos,Devuelve el valor mínimo de las entradas seleccionadas de una base de datos.,https://support.microsoft.com/es-es/office/funci%C3%B3n-bmin-4ae6f1d9-1f26-40f1-a783-6dc3680192a3,"BDMIN(base_de_datos, nombre_de_campo, criterios)",BMIN,es-es
BDPRODUCTO,Base de datos,Multiplica los valores de un campo determinado de los registros que cumplen los criterios de una base de datos.,https://support.microsoft.com/es-es/office/funci%C3%B3n-bdproducto-4f96b13e-d49c-47a7-b769-22f6d017cb31,"BDPRODUCTO(base_de_datos, nombre_de_campo, criterios)",BDPRODUCTO,es-es
BDPROMEDIO,Base de datos,Devuelve el promedio de entradas seleccionadas de una base de datos.,https://support.microsoft.com/es-es/office/funci%C3%B3n-bdpromedio-a6a2d5ac-4b4b-48cd-a1d8-7b37834e5aee,BDPROMEDIO(base_de_datos; nombre_de_campo; criterios),BDPROMEDIO,es-es
BDSUMA,Base de datos,Suma los números de la columna de campo de los registros de la base de datos que coinciden con los criterios.,https://support.microsoft.com/es-es/office/bdsuma-funci%C3%B3n-bdsuma-53181285-0c4b-4f5a-aaa3-529a322be41b,"BDSUMA(base_de_datos, nombre_de_campo, criterios)",BDSUMA,es-es
BDVAR,Base de datos,Calcula la varianza en función de una muestra de entradas seleccionadas de una base de datos.,https://support.microsoft.com/es-es/office/bdvar-funci%C3%B3n-bdvar-d6747ca9-99c7-48bb-996e-9d7af00f3ed1,"BDVAR(base_de_datos, nombre_de_campo, criterios)",BDVAR,es-es
BDVARP,Base de datos,Calcula la varianza en función de toda la población de entradas seleccionadas de una base de datos.,https://support.microsoft.com/es-es/office/funci%C3%B3n-bdvarp-eb0ba387-9cb7-45c8-81e9-0394912502fc,"BDVARP(base_de_datos, nombre_de_campo, criterios)",BDVARP,es-es
BESSELI,Ingeniería,Devuelve la función Bessel modificada In(x).,https://support.microsoft.com/es-es/office/besseli-funci%C3%B3n-besseli-8d33855c-9a8d-444b-98e0-852267b1c0df,"BESSELI(X, N)",BESSELI,es-es
BESSELJ,Ingeniería,Devuelve la función Bessel Jn(x).,https://support.microsoft.com/es-es/office/funci%C3%B3n-besselj-839cb181-48de-408b-9d80-bd02982d94f7,"BESSELJ(X, N)",BESSELJ,es-es
BESSELK,Ingeniería,Devuelve la función Bessel modificada Kn(x).,https://support.microsoft.com/es-es/office/funci%C3%B3n-besselk-606d11bc-06d3-4d53-9ecb-2803e2b90b70,"BESSELK(X, N)",BESSELK,es-es
BESSELY,Ingeniería,Devuelve la función Bessel Yn(x).,https://support.microsoft.com/es-es/office/funci%C3%B3n-bessely-f3a356b3-da89-42c3-8974-2da54d6353a2,"BESSELY(X, N)",BESSELY,es-es
BETA.INV,Estadística,Devuelve el inverso de la función de distribución acumulativa para una distribución beta especificada.,https://support.microsoft.com/es-es/office/inv-beta-n-funci%C3%B3n-inv-beta-n-e84cb8aa-8df0-4cf6-9892-83a341d252eb,INV.BETA.N(probabilidad;alfa;beta;[A];[B]),INV.BETA.N,es-es
BIN.A.DEC,Ingeniería,Convierte un número binario en decimal.,https://support.microsoft.com/es-es/office/funci%C3%B3n-bin-a-dec-63905b57-b3a0-453d-99f4-647bb519cd6c,BIN.A.DEC(número),BIN.A.DEC,es-es
BIN.A.HEX,Ingeniería,Convierte un número binario en hexadecimal.,https://support.microsoft.com/es-es/office/funci%C3%B3n-bin-a-hex-0375e507-f5e5-4077-9af8-28d84f9f41cc,BIN.A.HEX(número; [caracteres]),BIN.A.HEX,es-es
BIN.A.OCT,Ingeniería,Convierte un número binario en octal.,https://support.microsoft.com/es-es/office/funci%C3%B3n-bin-a-oct-0a4e01ba-ac8d-4158-9b29-16c25c4c23fd,BIN.A.OCT(número; [caracteres]),BIN.A.OCT,es-es
BINOM.CRIT,Compatibilidad,Devuelve el menor valor cuya distribución binomial acumulada sea menor o igual que un valor de criterio,https://support.microsoft.com/es-es/office/funci%C3%B3n-binom-crit-eb6b871d-796b-4d21-b69b-e4350d5f407b,BINOM.CRIT(ensayos;prob_éxito;alfa),BINOM.CRIT,es-es
BINOMDIST,Compatibilidad,Devuelve la probabilidad de la distribución binomial del término individual.,https://support.microsoft.com/es-es/office/funci%C3%B3n-distr-binom-506a663e-c4ca-428d-b9a8-05583d68789c,DISTR.BINOM(núm_éxito;ensayos;prob_éxito;acumulado),DISTR.BINOM,es-es
BIT.DESPLDCHA,Ingeniería,Devuelve un número de valor desplazado una determinada cantidad de bits hacia la derecha.,https://support.microsoft.com/es-es/office/bit-despldcha-funci%C3%B3n-bit-despldcha-274d6996-f42c-4743-abdb-4ff95351222c,BIT.DESPLDCHA(número; cant_desplazada),BIT.DESPLDCHA,es-es
BIT.DESPLIZQDA,Ingeniería,Devuelve un número de valor desplazado una determinada cantidad de bits hacia la izquierda.,https://support.microsoft.com/es-es/office/bit-desplizqda-funci%C3%B3n-bit-desplizqda-c55bb27e-cacd-4c7c-b258-d80861a03c9c,BIT.DESPLIZQDA(número; cant_desplazada),BIT.DESPLIZQDA,es-es
BIT.O,Ingeniería,"Devuelve una operación ""OR bit a bit"" de dos números.",https://support.microsoft.com/es-es/office/bit-o-funci%C3%B3n-bit-o-f6ead5c8-5b98-4c9e-9053-8ad5234919b2,BIT.O(número1; número2),BIT.O,es-es
BIT.XO,Ingeniería,"Devuelve una operación ""OR exclusivo"" de dos números.",https://support.microsoft.com/es-es/office/bit-xo-funci%C3%B3n-bit-xo-c81306a1-03f9-4e89-85ac-b86c3cba10e4,BIT.XO(número1; número2),BIT.XO,es-es
BIT.Y,Ingeniería,"Devuelve una operación ""AND bit a bit"" de dos números.",https://support.microsoft.com/es-es/office/bit-y-funci%C3%B3n-bit-y-8a2be3d7-91c3-4b48-9517-64548008563a,BIT.Y(número1; número2),BIT.Y,es-es
BUSCAR,Búsqueda y referencia,Busca valores en un vector o matriz.,https://support.microsoft.com/es-es/office/buscar-funci%C3%B3n-buscar-446d94af-663b-451d-8251-369d5e3864cb,BUSCAR(valor_buscado; vector_de_comparación; [vector_resultado]),BUSCAR,es-es
BUSCARH,Búsqueda y referencia,Busca en la fila superior de una matriz y devuelve el valor de la celda indicada,https://support.microsoft.com/es-es/office/buscarh-funci%C3%B3n-buscarh-a3034eec-b719-4ba3-bb65-e1ad662ed95f,"BUSCARH(valor_buscado, matriz_buscar_en, indicador_filas, [ordenado])",BUSCARH,es-es
BUSCARV,Búsqueda y referencia,Busca en la primera columna de una matriz y se desplaza por la fila para devolver el valor de una celda.,https://support.microsoft.com/es-es/office/funci%C3%B3n-buscarv-0bbc8083-26fe-4963-8ab8-93a18ad188a1,"=BUSCARV(Lo que desea buscar; dónde quiere buscarlo; el número de columna en el rango que contiene el valor a devolver; devuelve una Coincidencia exacta o Coincidencia aproximada, indicada como 1/TRUE o 0/FALSE).",BUSCARV,es-es
BUSCARX,Búsqueda y referencia,,https://support.microsoft.com/es-es/office/funci%C3%B3n-buscarx-b7fd680e-6d10-43e6-84f9-88eae8bf5929,=BUSCARX(),BUSCARX,es-es
CAMBIAR,Lógica,"Evalúa una expresión comparándola con una lista de valores y devuelve el resultado correspondiente al primer valor coincidente. Si no hay ninguna coincidencia, puede devolverse un valor predeterminado opcional.",https://support.microsoft.com/es-es/office/cambiar-funci%C3%B3n-cambiar-47ab33c0-28ce-4530-8a45-d532ec4aa25e,"CAMBIAR (expresión, valor1, resultado1, [valor predeterminado o valor2, resultado2],... [valor predeterminado o Valor3, resultado3])",CAMBIAR,es-es
CANTIDAD.RECIBIDA,Finanzas,Devuelve la cantidad recibida al vencimiento de un valor bursátil completamente invertido.,https://support.microsoft.com/es-es/office/funci%C3%B3n-cantidad-recibida-7a3f8b93-6611-4f81-8576-828312c9b5e5,"CANTIDAD.RECIBIDA(liquidación, vencimiento, inversión, descuento, [base])",CANTIDAD.RECIBIDA,es-es
CARACTER,Texto,Devuelve el carácter especificado por el número de código.,https://support.microsoft.com/es-es/office/caracter-funci%C3%B3n-caracter-bbd249c8-b36e-4a91-8017-1c133f9b837a,CARACTER(número),CARACTER,es-es
CELDA,Información,"Devuelve información acerca del formato, la ubicación o el contenido de una celda.",https://support.microsoft.com/es-es/office/funci%C3%B3n-celda-51bd39a5-f338-4dbe-a33f-955d67c2b2cf,=CELDA(),CELDA,es-es
CHISQ.DIST.RT,Estadística,Devuelve la probabilidad de una sola cola en una distribución chi-cuadrado.,https://support.microsoft.com/es-es/office/funci%C3%B3n-distr-chicuad-cd-dc4832e8-ed2b-49ae-8d7c-b28d5804c0f2,DISTR.CHICUAD.CD(x;grados_de_libertad),DISTR.CHICUAD.CD,es-es
COCIENTE,Matemáticas y trigonometría,Devuelve la parte entera de una división.,https://support.microsoft.com/es-es/office/cociente-funci%C3%B3n-cociente-9f7bf099-2a18-4282-8fa4-65290cc99dee,"COCIENTE(numerador, denominador)",COCIENTE,es-es
CODIGO,Texto,Devuelve un código numérico para el primer carácter de una cadena de texto.,https://support.microsoft.com/es-es/office/codigo-funci%C3%B3n-codigo-c32b692b-2ed0-4a04-bdd9-75640144b928,CODIGO(texto),CODIGO,es-es
COEF.DE.CORREL,Estadística,Devuelve el coeficiente de correlación entre dos conjuntos de datos.,https://support.microsoft.com/es-es/office/funci%C3%B3n-coef-de-correl-995dcef7-0c0a-4bed-a3fb-239d7b68ca92,=COEF.DE.CORREL(),COEF.DE.CORREL,es-es
COEFICIENTE.ASIMETRIA,Estadística,Devuelve el sesgo de una distribución.,https://support.microsoft.com/es-es/office/funci%C3%B3n-coeficiente-asimetria-bdf49d86-b1ef-4804-a046-28eaea69c9fa,"COEFICIENTE.ASIMETRIA(número1, [número2], ...)",COEFICIENTE.ASIMETRIA,es-es
COEFICIENTE.ASIMETRIA.P,Estadística,Devuelve el sesgo de una distribución en función de una población: una caracterización del grado de asimetría de una distribución alrededor de su media.,https://support.microsoft.com/es-es/office/coeficiente-asimetria-p-funci%C3%B3n-coeficiente-asimetria-p-76530a5c-99b9-48a1-8392-26632d542fcb,"COEFICIENTE.ASIMETRIA.P(número 1, [número 2],…)",COEFICIENTE.ASIMETRIA.P,es-es
COEFICIENTE.R2,Estadística,Devuelve el cuadrado del coeficiente de momento de correlación del producto Pearson.,https://support.microsoft.com/es-es/office/funci%C3%B3n-coeficiente-r2-d7161715-250d-4a01-b80d-a8364f2be08f,"COEFICIENTE.R2(conocido_y,conocido_x)",COEFICIENTE.R2,es-es
COINCIDIR,Búsqueda y referencia,Busca valores en una referencia o matriz.,https://support.microsoft.com/es-es/office/funci%C3%B3n-coincidir-e8dffd45-c762-47d6-bf89-533f4a37673a,"COINCIDIR(valor_buscado,matriz_buscada, [tipo_de_coincidencia])",COINCIDIR,es-es
COINCIDIRX,Búsqueda y referencia,,https://support.microsoft.com/es-es/office/funci%C3%B3n-coincidirx-d966da31-7a6b-4a13-a1c6-5a33ed6a0312,Formula=COINCIDIRX(F2;C3:C9;1),COINCIDIRX,es-es
COLUMNA,Búsqueda y referencia,Devuelve el número de columna de una referencia.,https://support.microsoft.com/es-es/office/columna-funci%C3%B3n-columna-44e8c754-711c-4df3-9da4-47a55042554b,=COLUMNA(),COLUMNA,es-es
COLUMNAS,Búsqueda y referencia,Devuelve el número de columnas de una referencia.,https://support.microsoft.com/es-es/office/funci%C3%B3n-columnas-4e8e7b4e-e603-43e8-b177-956088fa48ca,COLUMNAS(matriz),COLUMNAS,es-es
COMBINA,Matemáticas y trigonometría,Devuelve el número de combinaciones con repeticiones para un número de elementos determinado.,https://support.microsoft.com/es-es/office/combina-funci%C3%B3n-combina-efb49eaa-4f4c-4cd2-8179-0ddfcf9d035d,COMBINA(número; tamaño),COMBINA,es-es
COMBINAT,Matemáticas y trigonometría,Devuelve el número de combinaciones para un número de objetos determinado.,https://support.microsoft.com/es-es/office/funci%C3%B3n-combinat-12a3f276-0a21-423a-8de6-06990aaf638a,COMBINAT(número; tamaño),COMBINAT,es-es
COMPLEJO,Ingeniería,Convierte coeficientes reales e imaginarios en números complejos.,https://support.microsoft.com/es-es/office/funci%C3%B3n-complejo-f0b8f3a9-51cc-4d6d-86fb-3a9362fa4128,COMPLEJO(númer_real; núm_i; [sufijo]),COMPLEJO,es-es
CONCAT,Texto,"Combina el texto de varios rangos o cadenas, pero no proporciona el delimitador o los argumentos IgnoreEmpty.",https://support.microsoft.com/es-es/office/concat-funci%C3%B3n-concat-9b1a9a3f-94ff-41af-9736-694cbd6b4ca2,"CONCAT(Texto1, [Texto2],...)",CONCAT,es-es
CONCATENAR,Texto,Une varios elementos de texto en un elemento de texto.,https://support.microsoft.com/es-es/office/funci%C3%B3n-concatenar-8f8ae884-2ca8-4f7a-b093-75d702bea31d,"=CONCATENAR(""La densidad de población de la "";A3;"" "";A2;"" es "";A4;""/kilómetro"")",CONCATENAR,es-es
CONFIDENCE.T,Estadística,Devuelve el intervalo de confianza para la media de una población con una distribución t de Estudiante.,https://support.microsoft.com/es-es/office/funci%C3%B3n-intervalo-confianza-t-e8eca395-6c3a-4ba9-9003-79ccc61d3c53,INTERVALO.CONFIANZA.T(alfa;desv_estándar;tamaño),INTERVALO.CONFIANZA.T,es-es
CONJUNTOCUBO,Cubo,"Define un conjunto calculado de miembros o tuplas mediante el envío de una expresión de conjunto al cubo en el servidor, lo que crea al conjunto. Después, devuelve dicho conjunto a Microsoft Office Excel.",https://support.microsoft.com/es-es/office/funci%C3%B3n-conjuntocubo-5b2146bd-62d6-4d04-9d8f-670e993ee1d9,CONJUNTOCUBO(conexión; expresión_conjunto; [título]; [criterio_ordenación]; [ordenar_por]),CONJUNTOCUBO,es-es
CONTAR,Estadística,Cuenta cuántos números hay en la lista de argumentos.,https://support.microsoft.com/es-es/office/funci%C3%B3n-count-a59cd7fc-b623-4d93-87a4-d23bf411294c,CONTAR(valor1; [valor2]; ...),COUNT,es-es
CONTAR.BLANCO,Estadística,Cuenta el número de celdas en blanco en un intervalo.,https://support.microsoft.com/es-es/office/funci%C3%B3n-contar-blanco-6a92d772-675c-4bee-b346-24af6bd3ac22,=CONTAR.BLANCO(A2:B4),CONTAR.BLANCO,es-es
CONTAR.SI,Estadística,Cuenta las celdas contenidas en un intervalo que cumplen los criterios especificados.,https://support.microsoft.com/es-es/office/funci%C3%B3n-contar-si-e0de10c6-f885-4e71-abb4-1f464816df34,=CONTAR.SI(¿Dónde quiere realizar la búsqueda y qué quiere buscar?),CONTAR.SI,es-es
CONTAR.SI.CONJUNTO,Estadística,Cuenta las celdas contenidas en un intervalo que cumplan varios criterios.,https://support.microsoft.com/es-es/office/funci%C3%B3n-contar-si-conjunto-dda3dc6e-f74e-4aee-88bc-aa8c2a866842,CONTAR.SI.CONJUNTO(rango_criterios1; criterios1; [rango_criterios2; criterios2];…),CONTAR.SI.CONJUNTO,es-es
CONTARA,Estadística,Cuenta cuántos valores hay en la lista de argumentos.,https://support.microsoft.com/es-es/office/funci%C3%B3n-contara-7dc98875-d5c1-46f1-9a82-53f3219e2509,CONTARA(valor1; [valor2]; ...),CONTARA,es-es
CONV.DECIMAL,Matemáticas y trigonometría,Convierte la representación de texto de un número en una base especificada en un número decimal.,https://support.microsoft.com/es-es/office/conv-decimal-funci%C3%B3n-conv-decimal-ee554665-6176-46ef-82de-0a283658da2e,"CONV.DECIMAL(texto, base)",CONV.DECIMAL,es-es
CONVERTIR,Ingeniería,Convierte un número de un sistema de medidas a otro.,https://support.microsoft.com/es-es/office/funci%C3%B3n-convertir-d785bef1-808e-4aac-bdcd-666c810f9af2,U (unidad de masa atómica),CONVERTIR,es-es
COS,Matemáticas y trigonometría,Devuelve el coseno de un número,https://support.microsoft.com/es-es/office/funci%C3%B3n-cos-0fb808a5-95d6-4553-8148-22aebdce5f05,COS(número),COS,es-es
COSH,Matemáticas y trigonometría,Devuelve el coseno hiperbólico de un número.,https://support.microsoft.com/es-es/office/funci%C3%B3n-cosh-e460d426-c471-43e8-9540-a57ff3b70555,COSH(número),COSH,es-es
COT,Matemáticas y trigonometría,Devuelve el coseno hiperbólico de un número.,https://support.microsoft.com/es-es/office/cot-funci%C3%B3n-cot-c446f34d-6fe4-40dc-84f8-cf59e5f5e31a,COT(número),COT,es-es
COTH,Matemáticas y trigonometría,Devuelve la cotangente de un ángulo.,https://support.microsoft.com/es-es/office/coth-funci%C3%B3n-coth-2e0b4cb6-0ba0-403e-aed4-deaa71b49df5,COTH(número),COTH,es-es
COVAR,Compatibilidad,"Devuelve la covarianza, que es el promedio de productos de las desviaciones para cada pareja",https://support.microsoft.com/es-es/office/covar-funci%C3%B3n-covar-50479552-2c03-4daf-bd71-a5ab88b2db03,COVAR(matriz1;matriz2),COVAR,es-es
COVARIANCE.P,Estadística,"Devuelve la covarianza, que es el promedio de productos de las desviaciones para cada pareja",https://support.microsoft.com/es-es/office/funci%C3%B3n-covarianza-p-6f0e1e6d-956d-4e4b-9943-cfef0bf9edfc,COVARIANCE.P(matriz1;matriz2),COVARIANZA.P,es-es
COVARIANZA.M,Estadística,"Devuelve la covarianza de ejemplo, que es el promedio de las desviaciones de los productos para cada pareja de puntos de datos en dos conjuntos de datos.",https://support.microsoft.com/es-es/office/covarianza-m-funci%C3%B3n-covarianza-m-0a539b74-7371-42aa-a18f-1f5320314977,COVARIANZA.M(matriz1;matriz2),COVARIANZA.M,es-es
