Two_Letter_Country_Code,Country,Continent_Name,Most_Recent_Year,Arable_land_percent_recent,Arable Land (% of land area),Most_Recent_Year_hectares,Hectares_Change_5yr,percent_change_5yr
AU,Australia,Oceania,2023,4.02880884345075,"[1.87165123725967, 2.01968073363446, 2.00245452533746, 2.12124687918983, 2.25552701664866, 2.44527870559598, 2.50886290564024, 2.78711621519597, 2.55601109042865, 2.40734943962095, 2.19426473842469, 2.2189969149864, 1.94264738424691, 1.92364265909949, 1.76678859195814, 1.88381083790011, 1.9321036668706, 2.16536714265259, 2.24802468010882, 2.3151920648764, 2.3724665790193, 2.53088267836455, 2.50562982440155, 2.82975150671023, 2.72874009085821, 2.69151165666532, 2.55131926636554, 2.36075133749007, 2.28147820314229, 2.20715150410684, 2.23995418038869, 2.11212787836976, 2.22732775340718, 2.32261171784492, 2.1916613514182, 2.49834034078336, 2.72106009918905, 2.77911562943389, 2.99311404136782, 3.05546516017339, 3.15009827785949, 3.08956952995848, 3.02513570154771, 3.35094958541062, 3.43673118727464, 3.15374301966859, 3.01016622626037, 3.12329640862762, 3.53300443877485, 3.331261471174, 4.12570454160863, 4.11821980396496, 4.06399125261966, 4.16025148718483, 4.04705622014241, 3.90755614259973, 3.99790952181612, 4.02677060122049, 3.97463865148557, 3.98386899670048, 4.0646020161154, 4.0646020161154, 4.02880884345075]",30989678.2,15678.199999999255,0.0005061729192225497
AW,Aruba,North America,2023,11.1111111111111,"[11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111, 11.1111111111111]",2000.0,0.0,0.0
AZ,Azerbaijan,Europe,2023,25.307924984876,"[20.4825937008063, 20.6183832630352, 20.7121141112994, 20.7445594049293, 21.4475407669106, 21.6446158837737, 21.7794733548356, 22.0651713922979, 22.1003571212396, 22.2228947750714, 22.2384952431673, 22.2438658471664, 22.265095800271, 22.2985724655214, 22.281786608904, 22.4376429582834, 22.5132220702676, 22.6816102248796, 22.7944734804491, 22.8132788114883, 22.9475670836459, 23.2920795073737, 23.3054691941981, 23.4409590747977, 24.1804765936857, 25.3381239263507, 25.3817117138916, 25.358724320662, 25.2196113544515, 25.275257108288, 25.3103448275862, 25.307924984876]",2091700.0,-6200.0,-0.002955336288669622
BA,Bosnia and Herzegovina,Europe,2023,7.2265625,"[16.6015625, 16.6015625, 16.6015625, 16.6015625, 17.578125, 17.578125, 18.5546875, 18.5546875, 19.53125, 19.7265625, 19.47265625, 19.86328125, 20.078125, 20.01953125, 20.05859375, 19.9609375, 19.6875, 19.47265625, 19.609375, 19.62890625, 19.58984375, 19.70703125, 19.6484375, 19.9609375, 20.0390625, 20.703125, 20.09765625, 19.82421875, 19.82421875, 19.6875, 7.36328125, 7.2265625]",370000.0,-659000.0,-0.640427599611273
BB,Barbados,North America,2023,16.2790697674419,"[37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 37.2093023255814, 34.8837209302326, 34.8837209302326, 34.8837209302326, 32.5581395348837, 32.5581395348837, 30.2325581395349, 30.2325581395349, 30.2325581395349, 30.2325581395349, 30.2325581395349, 30.2325581395349, 27.906976744186, 25.5813953488372, 23.2558139534884, 22.093023255814, 20.9302325581395, 18.6046511627907, 16.2790697674419, 16.2790697674419, 16.2790697674419, 16.2790697674419, 16.2790697674419, 16.2790697674419, 16.2790697674419, 16.2790697674419]",7000.0,0.0,0.0
BD,Bangladesh,Asia,2023,60.6277888905986,"[66.1058615656449, 66.0444034723823, 66.1058615656449, 66.374740723669, 67.427210570792, 67.5885380656065, 67.934239840209, 67.8266881769993, 67.6807252055005, 67.888146270262, 67.888146270262, 70.1620957209803, 70.1467311976646, 70.1467311976646, 70.2466005992164, 70.2005070292694, 70.1467311976646, 70.1006376277176, 70.0468617961128, 70.0699085810863, 69.9777214411923, 69.9393101329031, 69.8240762080356, 70.5615733271875, 70.3080586924791, 70.3771990473996, 70.9456864100791, 73.2657294307444, 73.3886456172697, 72.64346623646, 72.0980256587539, 66.1365906122763, 65.3453176615196, 64.592456019052, 64.5617269724207, 64.2006606745026, 64.454175309211, 64.9458400553123, 64.8075593454713, 64.1468848428977, 63.7858185449796, 63.401705462088, 63.2096489206422, 62.5566566797265, 62.3108243066759, 62.0726741952831, 61.5810094491818, 61.48114004763, 61.3735883844204, 61.2737189828686, 60.4056234155335, 60.3441653222709, 59.2916954751479, 59.1457325036491, 59.6315587308904, 59.8771606360913, 59.8243066758854, 59.7088422831682, 60.3595298455865, 60.613044480295, 60.4908965199355, 60.7838169814218, 60.6277888905986]",7880400.0,108100.0,0.01390836689268299
BE,Belgium,Europe,2023,28.3056863645307,"[28.4178947021396, 27.8574489829559, 27.4288728447565, 27.5277750304948, 27.6926120067253, 27.7915141924637, 27.7585467972176, 27.6596446114792, 27.8244815877098, 27.6926120067253, 27.4948076352487, 27.1981010780338, 26.4728183826196, 26.9013945208189, 26.934361916065, 27.3464543566413, 28.0025055220387, 27.5607424257409, 27.8752500573902, 28.113268183905, 28.3621892831377, 28.3872237161409, 28.3186856430773, 28.3056863645307]",863153.6,13153.599999999977,0.015474823529411737
BF,Burkina Faso,Africa,2023,28.9012744883041,"[10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 10.9649122807018, 11.4248190789474, 11.884725877193, 12.3446323099415, 12.8045391081871, 13.2644459064327, 13.7243527046784, 14.1842591374269, 14.6441659356725, 15.1040727339181, 15.5639795321637, 16.0238863304094, 16.4837927631579, 16.9436995614035, 17.4036063596491, 17.8635131578947, 18.3234199561404, 18.7833263888889, 19.2432331871345, 19.7031399853801, 20.1630467836257, 20.6229532163743, 21.0828600146199, 21.5427668128655, 22.0026736111111, 22.4625804093567, 22.9224868421053, 23.3823936403509, 23.8423004385965, 24.3022072368421, 24.7621140350877, 25.2220204678363, 25.6819272660819, 26.1418340643275, 26.6017408625731, 27.0616472953216, 27.5215540935673, 27.9814608918129, 28.4413676900585, 28.9012744883041, 28.9012744883041]",7907388.7,503322.0,0.06797912828094863
BG,Bulgaria,Europe,2023,32.1163411938099,"[38.4344210431167, 37.5485853746723, 37.4039591430896, 37.7836030009943, 37.6660941878333, 37.6570550483594, 37.476272258881, 37.5485853746723, 37.584741932568, 37.4401157009853, 37.349724306246, 37.3135677483504, 37.241254632559, 37.0423935641327, 35.7678748983097, 35.614209527253, 35.5870921088312, 35.4876615746181, 35.2255265298744, 34.5927867666998, 34.565669348278, 34.5114345114345, 34.457199674591, 34.4120039772214, 34.4391213956431, 34.5204736509084, 34.574708487752, 34.7102955798608, 34.7826086956522, 34.8549218114436, 34.9272349272349, 36.5813974509627, 36.7260236825454, 36.1655970351622, 36.1384796167405, 37.9915032088945, 38.8502214589171, 31.9623971797885, 32.3420410376932, 31.8720057850493, 31.3386965560879, 30.8363970588235, 30.5507033189299, 30.4615667524825, 29.2065537555228, 28.8318144159072, 28.404382653531, 28.4320044194826, 28.9793662490789, 29.3478260869565, 29.9373618275608, 30.5545320560059, 32.0467943994105, 32.1112748710391, 32.3295873249816, 32.2033898305085, 32.1396462785556, 32.0375829034635, 32.0191599115696, 32.1665438467207, 32.2402358142962, 31.9454679439941, 32.1163411938099]",3486550.0,8550.0,0.0024583093732029903
BH,Bahrain,Asia,2023,2.625,"[2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.89855072463768, 2.8169014084507, 2.8169014084507, 2.8169014084507, 2.8169014084507, 2.8169014084507, 2.8169014084507, 2.8169014084507, 2.8169014084507, 2.83098591549296, 2.83098591549296, 2.84507042253521, 2.80555555555556, 2.78082191780822, 2.74324324324324, 2.75675675675676, 2.72, 2.69736842105263, 2.69736842105263, 2.70341207349081, 2.6857887874837, 2.68831168831169, 2.68831168831169, 2.69779507133593, 2.67352185089974, 2.68292682926829, 2.67948717948718, 2.69922879177378, 2.69230769230769, 2.67515923566879, 2.65822784810127, 2.65822784810127, 2.625]",2100.0,0.0,0.0
BI,Burundi,Africa,2023,51.4488629283489,"[26.285046728972, 27.2585669781931, 28.1931464174455, 28.9719626168224, 29.4392523364486, 29.3224299065421, 30.6853582554517, 31.1526479750779, 38.6292834890966, 36.6043613707165, 36.1760124610592, 34.8909657320872, 36.214953271028, 36.214953271028, 36.214953271028, 36.4096573208723, 36.6822429906542, 36.4096573208723, 36.214953271028, 36.214953271028, 36.214953271028, 36.214953271028, 36.214953271028, 36.214953271028, 36.214953271028, 36.214953271028, 36.214953271028, 36.214953271028, 36.214953271028, 36.214953271028, 36.214953271028, 36.214953271028, 36.214953271028, 36.214953271028, 36.6043613707165, 36.6043613707165, 36.993769470405, 36.993769470405, 37.3831775700935, 37.3831775700935, 37.9672897196262, 38.3956386292835, 38.5514018691589, 38.3566978193146, 37.2274143302181, 36.5654205607477, 36.6822429906542, 36.7990654205608, 36.9158878504673, 36.993769470405, 38.9408099688474, 39.9922118380062, 41.0436137071651, 42.095015576324, 43.1464174454829, 44.1978193146417, 45.2492211838006, 46.3006230529595, 47.3520249221184, 48.4034267912773, 49.4548286604361, 50.3702686915888, 51.4488629283489]",1321206.8,132206.80000000005,0.11119158957106816
BJ,Benin,Africa,2023,31.4468987229514,"[8.15892160340546, 8.33628946434906, 8.51365732529266, 8.69102518623625, 8.86839304717985, 9.13444483859525, 9.48918056048244, 9.75523235189783, 10.4647037956722, 10.6420716566158, 11.0854913089748, 11.3515431003902, 11.5289109613338, 11.7949627527492, 12.1496984746364, 12.4157502660518, 12.6818020574672, 12.8591699184108, 13.0365377793544, 13.3025895707698, 13.5686413621852, 13.7460092231288, 13.8346931536006, 13.9233770840724, 14.0120610145442, 14.100744945016, 14.1894288754878, 14.2781128059596, 14.3667967364314, 14.3224547711955, 14.3667967364314, 14.4554806669032, 14.6328485278468, 15.0762681802057, 15.8744235544519, 17.2933664420007, 18.6236253990777, 19.9538843561547, 20.3973040085137, 21.106775452288, 21.7275629655906, 22.6144022703086, 23.5012415750266, 23.5012415750266, 23.5367151472153, 22.1709826179496, 22.1709826179496, 22.1709826179496, 22.1709826179496, 22.1709826179496, 22.1709826179496, 23.0578219226676, 23.9446612273856, 23.9446612273856, 23.9446612273856, 24.8315005321036, 26.5482165661582, 30.291952820149, 31.3762185172047, 29.5429106065981, 30.9233283079106, 31.4468987229514, 31.4468987229514]",3545952.3,130231.69999999972,0.03812715243746802
BM,Bermuda,North America,2023,5.55555555555556,"[7.40740740740741, 5.55555555555556, 5.55555555555556, 7.40740740740741, 7.40740740740741, 7.40740740740741, 7.40740740740741, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 7.40740740740741, 7.40740740740741, 7.40740740740741, 7.40740740740741, 7.40740740740741, 7.40740740740741, 7.40740740740741, 7.40740740740741, 7.40740740740741, 7.40740740740741, 7.40740740740741, 7.40740740740741, 7.40740740740741, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556, 5.55555555555556]",300.0,0.0,0.0
BN,Brunei Darussalam,Asia,2023,0.759013282732448,"[0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 1.13851992409867, 1.13851992409867, 1.13851992409867, 1.13851992409867, 1.13851992409867, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448, 0.759013282732448]",4000.0,0.0,0.0
BO,Bolivia,South America,2023,5.13483577956245,"[1.19449829225515, 1.19634450290778, 1.20372934551832, 1.23788424259208, 1.26926982368688, 1.30527093141327, 1.33665651250808, 1.37358072556079, 1.40958183328718, 1.44373673036093, 1.46866057417151, 1.50835410320318, 1.54897073756116, 1.57943321332964, 1.61728053170867, 1.66805132465614, 1.70312932705622, 1.73266869749838, 1.76313117326687, 1.79359364903535, 1.82774854610911, 1.86282654850919, 1.89328902427767, 1.93205944798301, 1.89236591895135, 1.90159697221453, 1.91082802547771, 1.92005907874088, 1.92929013200406, 1.93852118526724, 1.94775223853042, 1.98467645158313, 2.03083171789901, 2.16929751684667, 2.40007384842611, 2.4831533277947, 2.65115849718453, 2.74531524046894, 2.83393335179544, 2.90224314594295, 2.90778177790086, 3.04624757684852, 3.24379211668051, 3.30379396289117, 3.51333887196529, 3.63221434505677, 3.75108981814825, 3.8699651989292, 3.98884067202068, 4.10771614511216, 4.23213025016154, 4.35746736822671, 4.48280457860242, 4.60537247299917, 4.59337210375704, 4.46413735807256, 4.33213329640912, 4.57080125542324, 4.84781279423982, 4.86957629465522, 4.98791673589957, 5.13483577956245, 5.13483577956245]",5562567.6,611018.5999999996,0.12339948569629415
