orden,anio,mes,dia,fecha,pais,ciudad,categoría,producto,precio,util_porcent,Cantidad,Total,utilidad
42,2023,1,30,2023-01-30,Perú,Arequipa,Tablets,iPad Air,649,0.33,2,1298,428.34000000000003
43,2023,1,23,2023-01-23,Panamá,Colón,Smartphones,Google Pixel 6,749,0.28,5,3745,1048.6000000000001
44,2023,1,27,2023-01-27,Paraguay,Encarnación,Auriculares,Jabra Elite 85t,224,0.21,3,672,141.12
45,2023,1,30,2023-01-30,Ecuador,Quito,Smartphones,OnePlus 9,799,0.32,2,1598,511.36
46,2023,1,21,2023-01-21,Costa Rica,Limón,Smartphones,Huawei P40 Pro,899,0.34,3,2697,916.98
47,2023,1,6,2023-01-06,Chile,Valparaíso,Smartphones,Motorola Edge 20 Pro,849,0.2,1,849,169.8
48,2023,1,24,2023-01-24,México,Ciudad de México (CDMX),Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,5,10245,1126.95
49,2023,1,21,2023-01-21,Costa Rica,Heredia,Smartphones,Samsung Galaxy S21,899,0.28,5,4495,1258.6000000000001
50,2023,1,29,2023-01-29,México,Guadalajara,Auriculares,Microsoft Surface Earbuds,224,0.14,5,1120,156.8
51,2023,1,30,2023-01-30,Ecuador,Cuenca,Tablets,ASUS ZenPad 3S 10,399,0.2,2,798,159.60000000000002
52,2023,1,9,2023-01-09,Brasil,Río de Janeiro,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,2,4098,450.78000000000003
53,2023,1,14,2023-01-14,Paraguay,Encarnación,Smartphones,Samsung Galaxy S21,899,0.28,4,3596,1006.8800000000001
54,2023,1,27,2023-01-27,Venezuela,Caracas,Smartphones,Motorola Edge 20 Pro,849,0.2,5,4245,849.0
55,2023,1,26,2023-01-26,Uruguay,Montevideo,Laptops,Dell XPS 13,1399,0.35,4,5596,1958.6
56,2023,1,30,2023-01-30,Brasil,Río de Janeiro,Laptops,MSI GS66 Stealth,2249,0.2,4,8996,1799.2
57,2023,1,13,2023-01-13,Panamá,Colón,Tablets,Samsung Galaxy Tab S7,699,0.15,1,699,104.85
58,2023,1,4,2023-01-04,Argentina,Buenos Aires,Auriculares,Bose QuietComfort 35 II,274,0.28,4,1096,306.88000000000005
59,2023,1,28,2023-01-28,Bolivia,Santa Cruz de la Sierra,Smartphones,OnePlus 9,799,0.32,4,3196,1022.72
60,2023,1,8,2023-01-08,México,Monterrey,Tablets,Amazon Fire HD 10,199,0.31,2,398,123.38
61,2023,1,5,2023-01-05,Brasil,Brasilia,Auriculares,Apple AirPods Pro,224,0.26,5,1120,291.2
62,2023,1,15,2023-01-15,Paraguay,Ciudad del Este,Laptops,Acer Swift 5,899,0.32,5,4495,1438.4
63,2023,1,10,2023-01-10,Panamá,David,Laptops,MSI GS66 Stealth,2249,0.2,3,6747,1349.4
64,2023,1,13,2023-01-13,Chile,Valparaíso,Smartphones,Huawei P40 Pro,899,0.34,2,1798,611.32
65,2023,1,4,2023-01-04,México,Monterrey,Laptops,Acer Swift 5,899,0.32,5,4495,1438.4
66,2023,1,21,2023-01-21,México,Ciudad de México (CDMX),Auriculares,Audio-Technica ATH-M50x,174,0.32,2,348,111.36
67,2023,1,31,2023-01-31,Colombia,Bogotá,Tablets,Huawei MatePad Pro,649,0.14,4,2596,363.44000000000005
68,2023,1,7,2023-01-07,Uruguay,Salto,Smartphones,Oppo Find X3 Pro,1049,0.23,2,2098,482.54
69,2023,1,26,2023-01-26,Costa Rica,Limón,Auriculares,Samsung Galaxy Buds Pro,174,0.11,1,174,19.14
70,2023,1,11,2023-01-11,Costa Rica,Limón,Smartphones,OnePlus 9,799,0.32,1,799,255.68
71,2023,1,21,2023-01-21,Argentina,Buenos Aires,Auriculares,Apple AirPods Pro,224,0.26,2,448,116.48
72,2023,1,8,2023-01-08,Chile,Valparaíso,Smartphones,OnePlus 9,799,0.32,5,3995,1278.4
73,2023,1,9,2023-01-09,Chile,Valparaíso,Smartphones,iPhone 13,1099,0.19,1,1099,208.81
74,2023,1,27,2023-01-27,Chile,Concepción,Auriculares,Razer Opus,224,0.11,2,448,49.28
75,2023,1,6,2023-01-06,Colombia,Cali,Auriculares,Bose QuietComfort 35 II,274,0.28,1,274,76.72000000000001
76,2023,1,9,2023-01-09,Ecuador,Quito,Laptops,Microsoft Surface Laptop 4,1649,0.27,2,3298,890.46
77,2023,1,6,2023-01-06,Brasil,São Paulo,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,3,6147,676.17
78,2023,1,11,2023-01-11,Venezuela,Caracas,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,1,2049,225.39000000000001
79,2023,1,28,2023-01-28,Ecuador,Quito,Smartphones,OnePlus 9,799,0.32,3,2397,767.04
80,2023,1,1,2023-01-01,Perú,Lima,Laptops,MSI GS66 Stealth,2249,0.2,3,6747,1349.4
81,2023,1,9,2023-01-09,Brasil,São Paulo,Smartphones,Google Pixel 6,749,0.28,2,1498,419.44000000000005
82,2023,1,16,2023-01-16,Brasil,São Paulo,Smartphones,Xiaomi Mi 11,699,0.2,5,3495,699.0
83,2023,1,21,2023-01-21,México,Monterrey,Laptops,HP Spectre x360,1799,0.25,4,7196,1799.0
84,2023,1,25,2023-01-25,México,Ciudad de México (CDMX),Smartphones,Motorola Edge 20 Pro,849,0.2,2,1698,339.6
85,2023,1,16,2023-01-16,Uruguay,Salto,Auriculares,Jabra Elite 85t,224,0.21,3,672,141.12
86,2023,1,13,2023-01-13,Chile,Concepción,Tablets,Amazon Fire HD 10,199,0.31,2,398,123.38
87,2023,1,2,2023-01-02,Paraguay,Encarnación,Auriculares,Jabra Elite 85t,224,0.21,1,224,47.04
88,2023,1,15,2023-01-15,Venezuela,Caracas,Auriculares,Sennheiser Momentum 3,324,0.32,1,324,103.68
89,2023,1,21,2023-01-21,Ecuador,Guayaquil,Tablets,LG G Pad 5 10.1,249,0.33,4,996,328.68
90,2023,1,25,2023-01-25,Perú,Lima,Auriculares,Apple AirPods Pro,224,0.26,5,1120,291.2
91,2023,1,7,2023-01-07,México,Monterrey,Smartphones,Huawei P40 Pro,899,0.34,1,899,305.66
92,2023,1,27,2023-01-27,México,Ciudad de México (CDMX),Tablets,Google Pixel Slate,799,0.3,5,3995,1198.5
93,2023,1,13,2023-01-13,Uruguay,Salto,Laptops,MacBook Pro 14,2999,0.19,3,8997,1709.43
94,2023,1,14,2023-01-14,Ecuador,Quito,Smartphones,iPhone 13,1099,0.19,1,1099,208.81
95,2023,1,6,2023-01-06,Perú,Trujillo,Smartphones,Google Pixel 6,749,0.28,5,3745,1048.6000000000001
96,2023,1,21,2023-01-21,Perú,Lima,Tablets,Huawei MatePad Pro,649,0.14,3,1947,272.58000000000004
97,2023,1,25,2023-01-25,Ecuador,Quito,Smartphones,Huawei P40 Pro,899,0.34,3,2697,916.98
98,2023,1,14,2023-01-14,Paraguay,Asunción,Tablets,ASUS ZenPad 3S 10,399,0.2,2,798,159.60000000000002
99,2023,1,2,2023-01-02,Ecuador,Cuenca,Tablets,Amazon Fire HD 10,199,0.31,4,796,246.76
100,2023,1,1,2023-01-01,Venezuela,Valencia,Tablets,Microsoft Surface Pro 7,999,0.35,1,999,349.65
101,2023,1,19,2023-01-19,Uruguay,Ciudad de la Costa,Auriculares,Razer Opus,224,0.11,5,1120,123.2
102,2023,1,23,2023-01-23,Uruguay,Ciudad de la Costa,Smartphones,Google Pixel 6,749,0.28,2,1498,419.44000000000005
103,2023,1,28,2023-01-28,Panamá,Colón,Laptops,Gigabyte Aero 15 OLED,2599,0.11,3,7797,857.67
104,2023,1,26,2023-01-26,Argentina,Buenos Aires,Tablets,Google Pixel Slate,799,0.3,3,2397,719.1
105,2023,1,15,2023-01-15,Perú,Lima,Tablets,Xiaomi Mi Pad 5,449,0.26,4,1796,466.96000000000004
106,2023,1,30,2023-01-30,Colombia,Medellín,Smartphones,iPhone 13,1099,0.19,3,3297,626.4300000000001
107,2023,1,25,2023-01-25,Bolivia,Santa Cruz de la Sierra,Tablets,iPad Air,649,0.33,3,1947,642.51
108,2023,1,7,2023-01-07,Ecuador,Guayaquil,Tablets,Lenovo Tab P11 Pro,549,0.3,2,1098,329.4
109,2023,1,22,2023-01-22,Colombia,Medellín,Smartphones,Asus ROG Phone 5,1099,0.13,1,1099,142.87
110,2023,1,1,2023-01-01,Ecuador,Guayaquil,Smartphones,Sony Xperia 1 III,1199,0.1,4,4796,479.6
111,2023,1,6,2023-01-06,Costa Rica,San José,Laptops,Razer Blade 15,2649,0.33,4,10596,3496.6800000000003
112,2023,1,11,2023-01-11,Uruguay,Salto,Tablets,Google Pixel Slate,799,0.3,1,799,239.7
113,2023,1,29,2023-01-29,Venezuela,Maracaibo,Smartphones,Xiaomi Mi 11,699,0.2,3,2097,419.40000000000003
114,2023,1,10,2023-01-10,Paraguay,Encarnación,Auriculares,Apple AirPods Pro,224,0.26,2,448,116.48
115,2023,1,4,2023-01-04,Chile,Concepción,Tablets,ASUS ZenPad 3S 10,399,0.2,4,1596,319.20000000000005
116,2023,1,1,2023-01-01,Venezuela,Caracas,Smartphones,LG Velvet,649,0.12,2,1298,155.76
117,2023,1,5,2023-01-05,Perú,Trujillo,Laptops,MacBook Pro 14,2999,0.19,1,2999,569.8100000000001
118,2023,1,11,2023-01-11,Perú,Trujillo,Smartphones,Xiaomi Mi 11,699,0.2,1,699,139.8
119,2023,1,19,2023-01-19,Colombia,Medellín,Smartphones,Oppo Find X3 Pro,1049,0.23,3,3147,723.8100000000001
120,2023,1,21,2023-01-21,Uruguay,Montevideo,Auriculares,Sennheiser Momentum 3,324,0.32,1,324,103.68
121,2023,1,19,2023-01-19,Brasil,São Paulo,Laptops,HP Spectre x360,1799,0.25,2,3598,899.5
122,2023,1,10,2023-01-10,Colombia,Bogotá,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,3,6147,676.17
123,2023,1,3,2023-01-03,Colombia,Medellín,Auriculares,Sennheiser Momentum 3,324,0.32,4,1296,414.72
124,2023,1,12,2023-01-12,Costa Rica,Limón,Tablets,Samsung Galaxy Tab S7,699,0.15,3,2097,314.55
125,2023,1,11,2023-01-11,Ecuador,Quito,Laptops,Dell XPS 13,1399,0.35,2,2798,979.3
126,2023,1,21,2023-01-21,Chile,Santiago,Auriculares,Apple AirPods Pro,224,0.26,4,896,232.96
127,2023,1,29,2023-01-29,México,Ciudad de México (CDMX),Smartphones,Samsung Galaxy S21,899,0.28,1,899,251.72000000000003
128,2023,1,28,2023-01-28,Perú,Arequipa,Tablets,Microsoft Surface Pro 7,999,0.35,2,1998,699.3
129,2023,1,8,2023-01-08,Ecuador,Guayaquil,Auriculares,Jabra Elite 85t,224,0.21,2,448,94.08
130,2023,1,24,2023-01-24,Venezuela,Caracas,Auriculares,Sony WH-1000XM4,324,0.27,5,1620,437.40000000000003
131,2023,1,24,2023-01-24,México,Ciudad de México (CDMX),Tablets,Amazon Fire HD 10,199,0.31,1,199,61.69
132,2023,1,28,2023-01-28,Paraguay,Ciudad del Este,Auriculares,Sony WH-1000XM4,324,0.27,3,972,262.44
133,2023,1,15,2023-01-15,Paraguay,Encarnación,Auriculares,Sony WH-1000XM4,324,0.27,1,324,87.48
134,2023,1,11,2023-01-11,Chile,Valparaíso,Tablets,iPad Air,649,0.33,5,3245,1070.8500000000001
135,2023,1,28,2023-01-28,Ecuador,Guayaquil,Smartphones,Huawei P40 Pro,899,0.34,2,1798,611.32
136,2023,1,31,2023-01-31,Panamá,Ciudad de Panamá,Tablets,Microsoft Surface Pro 7,999,0.35,3,2997,1048.95
137,2023,1,10,2023-01-10,Bolivia,Santa Cruz de la Sierra,Auriculares,Apple AirPods Pro,224,0.26,3,672,174.72
138,2023,1,28,2023-01-28,Uruguay,Montevideo,Laptops,Microsoft Surface Laptop 4,1649,0.27,4,6596,1780.92
139,2023,1,24,2023-01-24,Ecuador,Quito,Tablets,ASUS ZenPad 3S 10,399,0.2,5,1995,399.0
140,2023,1,24,2023-01-24,Uruguay,Montevideo,Auriculares,Samsung Galaxy Buds Pro,174,0.11,2,348,38.28
141,2023,1,25,2023-01-25,Perú,Arequipa,Tablets,iPad Air,649,0.33,4,2596,856.6800000000001
142,2023,1,24,2023-01-24,Brasil,Río de Janeiro,Tablets,Xiaomi Mi Pad 5,449,0.26,3,1347,350.22
143,2023,1,29,2023-01-29,Chile,Santiago,Smartphones,Motorola Edge 20 Pro,849,0.2,3,2547,509.40000000000003
144,2023,1,12,2023-01-12,Chile,Valparaíso,Auriculares,Razer Opus,224,0.11,3,672,73.92
145,2023,1,24,2023-01-24,Costa Rica,San José,Tablets,Microsoft Surface Pro 7,999,0.35,1,999,349.65
146,2023,1,29,2023-01-29,Ecuador,Cuenca,Auriculares,Microsoft Surface Earbuds,224,0.14,3,672,94.08000000000001
147,2023,1,8,2023-01-08,Colombia,Cali,Laptops,Dell XPS 13,1399,0.35,4,5596,1958.6
148,2023,1,14,2023-01-14,Costa Rica,Heredia,Auriculares,Audio-Technica ATH-M50x,174,0.32,2,348,111.36
149,2023,1,14,2023-01-14,Costa Rica,Heredia,Auriculares,Beats Studio3,274,0.13,3,822,106.86
150,2023,1,1,2023-01-01,Bolivia,La Paz,Laptops,Gigabyte Aero 15 OLED,2599,0.11,3,7797,857.67
151,2023,1,6,2023-01-06,Ecuador,Cuenca,Tablets,Lenovo Tab P11 Pro,549,0.3,3,1647,494.09999999999997
152,2023,1,7,2023-01-07,Perú,Trujillo,Tablets,ASUS ZenPad 3S 10,399,0.2,2,798,159.60000000000002
153,2023,1,15,2023-01-15,Brasil,São Paulo,Auriculares,Jabra Elite 85t,224,0.21,2,448,94.08
154,2023,1,21,2023-01-21,Chile,Santiago,Laptops,MSI GS66 Stealth,2249,0.2,3,6747,1349.4
155,2023,1,21,2023-01-21,Paraguay,Ciudad del Este,Tablets,Amazon Fire HD 10,199,0.31,2,398,123.38
156,2023,1,1,2023-01-01,Paraguay,Ciudad del Este,Smartphones,Sony Xperia 1 III,1199,0.1,2,2398,239.8
157,2023,1,7,2023-01-07,Brasil,São Paulo,Auriculares,Microsoft Surface Earbuds,224,0.14,4,896,125.44000000000001
158,2023,1,21,2023-01-21,México,Monterrey,Laptops,MacBook Pro 14,2999,0.19,3,8997,1709.43
159,2023,1,28,2023-01-28,Panamá,Ciudad de Panamá,Laptops,Gigabyte Aero 15 OLED,2599,0.11,3,7797,857.67
160,2023,1,7,2023-01-07,Perú,Lima,Tablets,Amazon Fire HD 10,199,0.31,2,398,123.38
161,2023,1,18,2023-01-18,Venezuela,Valencia,Tablets,Amazon Fire HD 10,199,0.31,5,995,308.45
162,2023,1,7,2023-01-07,Perú,Trujillo,Smartphones,Huawei P40 Pro,899,0.34,4,3596,1222.64
163,2023,1,26,2023-01-26,Brasil,São Paulo,Smartphones,OnePlus 9,799,0.32,1,799,255.68
164,2023,1,31,2023-01-31,Colombia,Cali,Smartphones,Oppo Find X3 Pro,1049,0.23,5,5245,1206.3500000000001
165,2023,1,28,2023-01-28,Panamá,David,Tablets,Microsoft Surface Pro 7,999,0.35,2,1998,699.3
166,2023,1,9,2023-01-09,Bolivia,La Paz,Tablets,ASUS ZenPad 3S 10,399,0.2,3,1197,239.4
167,2023,1,6,2023-01-06,Ecuador,Guayaquil,Smartphones,Motorola Edge 20 Pro,849,0.2,5,4245,849.0
168,2023,1,29,2023-01-29,Brasil,Río de Janeiro,Auriculares,Sony WH-1000XM4,324,0.27,3,972,262.44
169,2023,1,16,2023-01-16,Costa Rica,Limón,Tablets,Samsung Galaxy Tab S7,699,0.15,3,2097,314.55
170,2023,1,23,2023-01-23,Costa Rica,Heredia,Tablets,LG G Pad 5 10.1,249,0.33,4,996,328.68
171,2023,1,5,2023-01-05,Uruguay,Montevideo,Auriculares,Sennheiser Momentum 3,324,0.32,1,324,103.68
172,2023,1,14,2023-01-14,Uruguay,Montevideo,Smartphones,Google Pixel 6,749,0.28,3,2247,629.1600000000001
173,2023,1,13,2023-01-13,Venezuela,Caracas,Laptops,ASUS ZenBook 14,1149,0.29,1,1149,333.21
174,2023,1,14,2023-01-14,Argentina,Buenos Aires,Laptops,Dell XPS 13,1399,0.35,5,6995,2448.25
175,2023,1,26,2023-01-26,Colombia,Cali,Auriculares,Sony WH-1000XM4,324,0.27,1,324,87.48
176,2023,1,17,2023-01-17,Ecuador,Cuenca,Tablets,Microsoft Surface Pro 7,999,0.35,3,2997,1048.95
177,2023,1,22,2023-01-22,Bolivia,La Paz,Laptops,Acer Swift 5,899,0.32,2,1798,575.36
178,2023,1,9,2023-01-09,Brasil,Río de Janeiro,Laptops,Gigabyte Aero 15 OLED,2599,0.11,4,10396,1143.56
179,2023,1,1,2023-01-01,Costa Rica,Limón,Auriculares,Beats Studio3,274,0.13,1,274,35.620000000000005
180,2023,1,12,2023-01-12,Brasil,Río de Janeiro,Tablets,LG G Pad 5 10.1,249,0.33,3,747,246.51000000000002
181,2023,1,13,2023-01-13,Venezuela,Maracaibo,Laptops,HP Spectre x360,1799,0.25,2,3598,899.5
182,2023,1,31,2023-01-31,Bolivia,La Paz,Laptops,HP Spectre x360,1799,0.25,4,7196,1799.0
183,2023,1,19,2023-01-19,Bolivia,La Paz,Auriculares,Sennheiser Momentum 3,324,0.32,5,1620,518.4
184,2023,1,21,2023-01-21,Paraguay,Asunción,Auriculares,Audio-Technica ATH-M50x,174,0.32,4,696,222.72
185,2023,1,5,2023-01-05,Perú,Lima,Smartphones,Xiaomi Mi 11,699,0.2,2,1398,279.6
186,2023,1,8,2023-01-08,Perú,Lima,Tablets,Huawei MatePad Pro,649,0.14,3,1947,272.58000000000004
187,2023,1,15,2023-01-15,Panamá,Ciudad de Panamá,Laptops,Razer Blade 15,2649,0.33,1,2649,874.1700000000001
188,2023,1,14,2023-01-14,Panamá,Ciudad de Panamá,Tablets,Google Pixel Slate,799,0.3,2,1598,479.4
189,2023,1,7,2023-01-07,Chile,Valparaíso,Smartphones,iPhone 13,1099,0.19,1,1099,208.81
190,2023,1,31,2023-01-31,Venezuela,Maracaibo,Tablets,Samsung Galaxy Tab S7,699,0.15,3,2097,314.55
191,2023,1,4,2023-01-04,Ecuador,Guayaquil,Smartphones,Google Pixel 6,749,0.28,5,3745,1048.6000000000001
192,2023,1,12,2023-01-12,Ecuador,Guayaquil,Tablets,Xiaomi Mi Pad 5,449,0.26,5,2245,583.7
193,2023,1,27,2023-01-27,Colombia,Bogotá,Smartphones,LG Velvet,649,0.12,5,3245,389.4
194,2023,1,1,2023-01-01,Chile,Santiago,Laptops,MacBook Pro 14,2999,0.19,5,14995,2849.05
195,2023,1,10,2023-01-10,Costa Rica,Heredia,Tablets,Samsung Galaxy Tab S7,699,0.15,2,1398,209.7
196,2023,1,18,2023-01-18,Brasil,Río de Janeiro,Smartphones,iPhone 13,1099,0.19,5,5495,1044.05
197,2023,1,1,2023-01-01,Chile,Santiago,Auriculares,Sony WH-1000XM4,324,0.27,3,972,262.44
198,2023,1,26,2023-01-26,Panamá,Colón,Laptops,Gigabyte Aero 15 OLED,2599,0.11,1,2599,285.89
199,2023,1,22,2023-01-22,Bolivia,Santa Cruz de la Sierra,Laptops,Gigabyte Aero 15 OLED,2599,0.11,1,2599,285.89
200,2023,1,11,2023-01-11,Brasil,Brasilia,Smartphones,Google Pixel 6,749,0.28,1,749,209.72000000000003
201,2023,1,3,2023-01-03,Paraguay,Ciudad del Este,Laptops,Microsoft Surface Laptop 4,1649,0.27,2,3298,890.46
202,2023,1,7,2023-01-07,Bolivia,La Paz,Auriculares,Sony WH-1000XM4,324,0.27,4,1296,349.92
203,2023,1,14,2023-01-14,Chile,Valparaíso,Smartphones,Motorola Edge 20 Pro,849,0.2,4,3396,679.2
204,2023,1,16,2023-01-16,Panamá,David,Smartphones,Xiaomi Mi 11,699,0.2,1,699,139.8
205,2023,1,31,2023-01-31,México,Monterrey,Auriculares,Jabra Elite 85t,224,0.21,2,448,94.08
206,2023,1,5,2023-01-05,México,Ciudad de México (CDMX),Auriculares,Razer Opus,224,0.11,1,224,24.64
207,2023,1,27,2023-01-27,Costa Rica,San José,Tablets,iPad Air,649,0.33,1,649,214.17000000000002
208,2023,1,20,2023-01-20,Costa Rica,Heredia,Tablets,iPad Air,649,0.33,2,1298,428.34000000000003
209,2023,1,25,2023-01-25,Costa Rica,Heredia,Tablets,Google Pixel Slate,799,0.3,2,1598,479.4
210,2023,1,5,2023-01-05,Ecuador,Quito,Laptops,Gigabyte Aero 15 OLED,2599,0.11,1,2599,285.89
211,2023,1,1,2023-01-01,Brasil,Río de Janeiro,Laptops,Lenovo ThinkPad X1 Carbon,2049,0.11,1,2049,225.39000000000001
212,2023,1,23,2023-01-23,Panamá,Colón,Auriculares,Bose QuietComfort 35 II,274,0.28,1,274,76.72000000000001
213,2023,1,6,2023-01-06,Brasil,Río de Janeiro,Smartphones,OnePlus 9,799,0.32,3,2397,767.04
214,2023,1,18,2023-01-18,Bolivia,La Paz,Auriculares,Sony WH-1000XM4,324,0.27,2,648,174.96
215,2023,1,3,2023-01-03,Uruguay,Montevideo,Tablets,ASUS ZenPad 3S 10,399,0.2,4,1596,319.20000000000005
216,2023,1,25,2023-01-25,México,Ciudad de México (CDMX),Laptops,Dell XPS 13,1399,0.35,1,1399,489.65
217,2023,1,21,2023-01-21,México,Ciudad de México (CDMX),Smartphones,Asus ROG Phone 5,1099,0.13,1,1099,142.87
218,2023,1,29,2023-01-29,Colombia,Bogotá,Tablets,Microsoft Surface Pro 7,999,0.35,1,999,349.65
219,2023,1,18,2023-01-18,Uruguay,Salto,Smartphones,Samsung Galaxy S21,899,0.28,5,4495,1258.6000000000001
220,2023,1,19,2023-01-19,Brasil,Río de Janeiro,Tablets,Xiaomi Mi Pad 5,449,0.26,2,898,233.48000000000002
221,2023,1,7,2023-01-07,Uruguay,Ciudad de la Costa,Smartphones,Google Pixel 6,749,0.28,4,2996,838.8800000000001
222,2023,1,15,2023-01-15,Chile,Concepción,Auriculares,Bose QuietComfort 35 II,274,0.28,4,1096,306.88000000000005
223,2023,1,20,2023-01-20,Bolivia,Santa Cruz de la Sierra,Laptops,Dell XPS 13,1399,0.35,5,6995,2448.25
224,2023,1,31,2023-01-31,Paraguay,Asunción,Tablets,Lenovo Tab P11 Pro,549,0.3,3,1647,494.09999999999997
225,2023,1,1,2023-01-01,Brasil,São Paulo,Smartphones,Huawei P40 Pro,899,0.34,5,4495,1528.3000000000002
226,2023,1,8,2023-01-08,Costa Rica,Heredia,Laptops,Acer Swift 5,899,0.32,2,1798,575.36
227,2023,1,7,2023-01-07,Brasil,São Paulo,Auriculares,Sony WH-1000XM4,324,0.27,2,648,174.96
