Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Country/Region,City,State/Province,Postal Code,Division,Region,Product ID,Product Name,Sales,Units,Gross Profit,Cost
8009,US-2024-147039-CHO-NUT-13000,2024-06-29,2029-12-25,Standard Class,147039,United States,Minneapolis,Minnesota,55407,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
387,US-2021-158064-CHO-MIL-31000,2021-04-21,2026-10-16,Standard Class,158064,United States,Los Angeles,California,90008,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7
1397,US-2021-130729-CHO-MIL-31000,2021-10-24,2027-04-21,Standard Class,130729,United States,Rancho Cucamonga,California,91730,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
2117,US-2022-140921-CHO-TRI-54000,2022-02-03,2027-07-29,First Class,140921,United States,Omaha,Nebraska,68104,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
2121,US-2022-140921-CHO-NUT-13000,2022-02-03,2027-07-29,First Class,140921,United States,Omaha,Nebraska,68104,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3
2518,US-2022-109939-CHO-SCR-58000,2022-05-08,2027-11-02,Standard Class,109939,United States,Salem,Oregon,97301,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2
3660,US-2022-114503-CHO-NUT-13000,2022-11-13,2028-05-09,Standard Class,114503,United States,Lebanon,Tennessee,37087,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6
5189,US-2023-126613-CHO-TRI-54000,2023-07-10,2029-01-05,Standard Class,126613,United States,Mesa,Arizona,85204,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
6266,US-2023-131065-CHO-NUT-13000,2023-11-14,2029-05-08,Second Class,131065,United States,Atlanta,Georgia,30318,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
6269,US-2023-131065-CHO-SCR-58000,2023-11-14,2029-05-08,Second Class,131065,United States,Atlanta,Georgia,30318,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1
6271,US-2023-131065-CHO-NUT-13000,2023-11-14,2029-05-08,Second Class,131065,United States,Atlanta,Georgia,30318,Chocolate,Gulf,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
8580,US-2024-169488-CHO-MIL-31000,2024-09-07,2030-03-02,First Class,169488,United States,Providence,Rhode Island,02908,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
8582,US-2024-169488-CHO-TRI-54000,2024-09-07,2030-03-02,First Class,169488,United States,Providence,Rhode Island,02908,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5
9950,US-2024-100230-CHO-NUT-13000,2024-12-11,2030-06-07,Standard Class,100230,United States,New York City,New York,10035,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1
9956,US-2024-100230-CHO-TRI-54000,2024-12-11,2030-06-07,Standard Class,100230,United States,New York City,New York,10035,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
9961,US-2024-100230-CHO-NUT-13000,2024-12-11,2030-06-07,Standard Class,100230,United States,New York City,New York,10035,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
430,US-2021-155271-CHO-TRI-54000,2021-05-04,2026-10-25,Same Day,155271,United States,Middletown,Connecticut,06457,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
5231,US-2023-121671-CHO-TRI-54000,2023-07-17,2029-01-11,Standard Class,121671,United States,Springfield,Missouri,65807,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
5232,US-2023-121671-CHO-SCR-58000,2023-07-17,2029-01-11,Standard Class,121671,United States,Springfield,Missouri,65807,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1
5233,US-2023-121671-CHO-NUT-13000,2023-07-17,2029-01-11,Standard Class,121671,United States,Springfield,Missouri,65807,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,27.92,8,19.92,8
5235,US-2023-121671-CHO-NUT-13000,2023-07-17,2029-01-11,Standard Class,121671,United States,Springfield,Missouri,65807,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1
5237,US-2023-121671-CHO-FUD-51000,2023-07-17,2029-01-11,Standard Class,121671,United States,Springfield,Missouri,65807,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6
5462,US-2023-114601-CHO-SCR-58000,2023-08-26,2029-02-22,Standard Class,114601,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10,4.4
5464,US-2023-114601-CHO-SCR-58000,2023-08-26,2029-02-22,Standard Class,114601,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3
5469,US-2023-114601-CHO-TRI-54000,2023-08-26,2029-02-22,Standard Class,114601,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
5475,US-2023-114601-CHO-NUT-13000,2023-08-26,2029-02-22,Standard Class,114601,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3
5477,US-2023-114601-CHO-SCR-58000,2023-08-26,2029-02-22,Standard Class,114601,United States,Detroit,Michigan,48234,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3
7419,US-2024-114412-CHO-TRI-54000,2024-04-15,2029-10-11,Standard Class,114412,United States,Concord,North Carolina,28027,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
659,US-2021-154963-CHO-FUD-51000,2021-06-22,2026-12-18,Standard Class,154963,United States,Chester,Pennsylvania,19013,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18,5,12,6
660,US-2021-154963-CHO-TRI-54000,2021-06-22,2026-12-18,Standard Class,154963,United States,Chester,Pennsylvania,19013,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
665,US-2021-154963-CHO-MIL-31000,2021-06-22,2026-12-18,Standard Class,154963,United States,Chester,Pennsylvania,19013,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
1760,US-2021-143210-CHO-FUD-51000,2021-12-01,2027-05-26,First Class,143210,United States,Lowell,Massachusetts,01852,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4
1761,US-2021-143210-CHO-MIL-31000,2021-12-01,2027-05-26,First Class,143210,United States,Lowell,Massachusetts,01852,Chocolate,Atlantic,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
1766,US-2021-143210-CHO-FUD-51000,2021-12-01,2027-05-26,First Class,143210,United States,Lowell,Massachusetts,01852,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4
3701,US-2022-110863-CHO-FUD-51000,2022-11-17,2028-05-16,Standard Class,110863,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18,5,12,6
3704,US-2022-110863-CHO-FUD-51000,2022-11-17,2028-05-16,Standard Class,110863,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6
3708,US-2022-110863-CHO-FUD-51000,2022-11-17,2028-05-16,Standard Class,110863,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8
5147,US-2023-147137-CHO-FUD-51000,2023-07-04,2028-12-26,First Class,147137,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18,5,12,6
5148,US-2023-147137-CHO-MIL-31000,2023-07-04,2028-12-26,First Class,147137,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7
5150,US-2023-147137-CHO-FUD-51000,2023-07-04,2028-12-26,First Class,147137,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4
5151,US-2023-147137-CHO-NUT-13000,2023-07-04,2028-12-26,First Class,147137,United States,San Francisco,California,94109,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4
5575,US-2023-131205-CHO-TRI-54000,2023-09-04,2029-02-28,Standard Class,131205,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
5581,US-2023-131205-CHO-SCR-58000,2023-09-04,2029-02-28,Standard Class,131205,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3
5582,US-2023-131205-CHO-MIL-31000,2023-09-04,2029-02-28,Standard Class,131205,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84
5588,US-2023-131205-CHO-TRI-54000,2023-09-04,2029-02-28,Standard Class,131205,United States,Georgetown,Kentucky,40324,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,15,4,9.8,5.2
9332,US-2024-157196-CHO-NUT-13000,2024-11-05,2030-05-02,Standard Class,157196,United States,San Diego,California,92105,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
120,US-2021-152905-CHO-FUD-51000,2021-02-18,2026-08-17,Standard Class,152905,United States,Arlington,Texas,76017,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4
162,US-2021-156587-CHO-NUT-13000,2021-03-07,2026-08-29,First Class,156587,United States,Seattle,Washington,98103,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1
165,US-2021-156587-CHO-FUD-51000,2021-03-07,2026-08-29,First Class,156587,United States,Seattle,Washington,98103,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6
168,US-2021-156587-CHO-FUD-51000,2021-03-07,2026-08-29,First Class,156587,United States,Seattle,Washington,98103,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6
6176,US-2023-140935-CHO-MIL-31000,2023-11-10,2029-05-04,First Class,140935,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
6209,US-2023-140935-CHO-NUT-13000,2023-11-10,2029-05-04,First Class,140935,United States,Oklahoma City,Oklahoma,73120,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
3230,US-2022-150511-CHO-MIL-31000,2022-09-18,2028-03-16,Standard Class,150511,United States,Des Moines,Washington,98198,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
4434,US-2023-108637-CHO-MIL-31000,2023-03-13,2028-09-07,Standard Class,108637,United States,Waynesboro,Virginia,22980,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
4437,US-2023-108637-CHO-TRI-54000,2023-03-13,2028-09-07,Standard Class,108637,United States,Waynesboro,Virginia,22980,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
4442,US-2023-108637-CHO-SCR-58000,2023-03-13,2028-09-07,Standard Class,108637,United States,Waynesboro,Virginia,22980,Chocolate,Gulf,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10,4.4
5504,US-2023-161207-CHO-NUT-13000,2023-08-29,2029-02-23,Standard Class,161207,United States,Concord,New Hampshire,03301,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3
5520,US-2023-129714-CHO-SCR-58000,2023-09-01,2029-02-23,First Class,129714,United States,New York City,New York,10009,Chocolate,Atlantic,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1
5522,US-2023-129714-CHO-FUD-51000,2023-09-01,2029-02-23,First Class,129714,United States,New York City,New York,10009,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8
5526,US-2023-129714-CHO-NUT-13000,2023-09-01,2029-02-23,First Class,129714,United States,New York City,New York,10009,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
5527,US-2023-129714-CHO-NUT-13000,2023-09-01,2029-02-23,First Class,129714,United States,New York City,New York,10009,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4
5530,US-2023-129714-CHO-TRI-54000,2023-09-01,2029-02-23,First Class,129714,United States,New York City,New York,10009,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3
7588,US-2024-159688-CHO-SCR-58000,2024-05-07,2029-11-02,Standard Class,159688,United States,Los Angeles,California,90004,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1
8735,US-2024-134173-CHO-NUT-13000,2024-09-16,2030-03-14,Standard Class,134173,United States,Philadelphia,Pennsylvania,19143,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4
9329,US-2024-118213-OTH-GUM-21000,2024-11-05,2030-04-30,First Class,118213,United States,Greenwood,Indiana,46142,Other,Interior,OTH-GUM-21000,Wonka Gum,3.75,3,1.95,1.8
9331,US-2024-118213-CHO-TRI-54000,2024-11-05,2030-04-30,First Class,118213,United States,Greenwood,Indiana,46142,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3
9333,US-2024-118213-CHO-TRI-54000,2024-11-05,2030-04-30,First Class,118213,United States,Greenwood,Indiana,46142,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,37.5,10,24.5,13
9340,US-2024-107174-CHO-TRI-54000,2024-11-06,2030-05-06,Standard Class,107174,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
9345,US-2024-107174-CHO-FUD-51000,2024-11-06,2030-05-06,Standard Class,107174,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4
9365,US-2024-107174-CHO-MIL-31000,2024-11-06,2030-05-06,Standard Class,107174,United States,Seattle,Washington,98105,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
1922,US-2021-103100-CHO-NUT-13000,2021-12-20,2027-06-15,First Class,103100,United States,Indianapolis,Indiana,46203,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3
1925,US-2021-103100-CHO-FUD-51000,2021-12-20,2027-06-15,First Class,103100,United States,Indianapolis,Indiana,46203,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2
3573,US-2022-163181-CHO-SCR-58000,2022-11-07,2028-05-04,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18,5,12.5,5.5
3574,US-2022-163181-CHO-SCR-58000,2022-11-07,2028-05-04,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3
3575,US-2022-163181-CHO-MIL-31000,2022-11-07,2028-05-04,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,32.5,10,21.1,11.4
3582,US-2022-163181-CHO-MIL-31000,2022-11-07,2028-05-04,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
3583,US-2022-163181-CHO-TRI-54000,2022-11-07,2028-05-04,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
3584,US-2022-163181-CHO-NUT-13000,2022-11-07,2028-05-04,Standard Class,163181,United States,Houston,Texas,77041,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3
4282,US-2023-147431-CHO-TRI-54000,2023-02-02,2028-07-30,Standard Class,147431,United States,New York City,New York,10011,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
5829,US-2023-122245-CHO-FUD-51000,2023-09-25,2029-03-22,Standard Class,122245,United States,Phoenix,Arizona,85023,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6
6675,US-2023-117121-CHO-FUD-51000,2023-12-17,2029-06-12,Standard Class,117121,United States,Detroit,Michigan,48205,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,46.8,13,31.2,15.6
7677,US-2024-121643-CHO-FUD-51000,2024-05-18,2029-11-10,First Class,121643,United States,Portland,Oregon,97206,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4
7823,US-2024-126788-CHO-SCR-58000,2024-06-05,2029-11-27,First Class,126788,United States,Pearland,Texas,77581,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3
8268,US-2024-140781-CHO-MIL-31000,2024-08-03,2030-01-28,Standard Class,140781,United States,Bloomington,Illinois,61701,Chocolate,Interior,CHO-MIL-31000,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42
8784,US-2024-153822-CHO-MIL-31000,2024-09-19,2030-03-18,Standard Class,153822,United States,Phoenix,Arizona,85023,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,13,4,8.44,4.56
8786,US-2024-153822-CHO-FUD-51000,2024-09-19,2030-03-18,Standard Class,153822,United States,Phoenix,Arizona,85023,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4
8789,US-2024-153822-CHO-NUT-13000,2024-09-19,2030-03-18,Standard Class,153822,United States,Phoenix,Arizona,85023,Chocolate,Pacific,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
8791,US-2024-153822-CHO-MIL-31000,2024-09-19,2030-03-18,Standard Class,153822,United States,Phoenix,Arizona,85023,Chocolate,Pacific,CHO-MIL-31000,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28
9546,US-2024-101042-CHO-MIL-31000,2024-11-19,2030-05-16,Standard Class,101042,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-MIL-31000,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84
9555,US-2024-101042-CHO-TRI-54000,2024-11-19,2030-05-16,Standard Class,101042,United States,Henderson,Kentucky,42420,Chocolate,Gulf,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
156,US-2021-169061-CHO-TRI-54000,2021-03-05,2026-08-29,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
157,US-2021-169061-CHO-NUT-13000,2021-03-05,2026-08-29,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6
158,US-2021-169061-CHO-TRI-54000,2021-03-05,2026-08-29,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6
159,US-2021-169061-CHO-NUT-13000,2021-03-05,2026-08-29,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
160,US-2021-169061-CHO-TRI-54000,2021-03-05,2026-08-29,Second Class,169061,United States,Yonkers,New York,10701,Chocolate,Atlantic,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
3141,US-2022-168186-CHO-FUD-51000,2022-09-10,2028-03-07,Standard Class,168186,United States,Tulsa,Oklahoma,74133,Chocolate,Interior,CHO-FUD-51000,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6
4275,US-2023-147970-CHO-TRI-54000,2023-01-31,2028-07-25,Second Class,147970,United States,Dallas,Texas,75220,Chocolate,Interior,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
8559,US-2024-120761-CHO-FUD-51000,2024-09-04,2030-03-01,Standard Class,120761,United States,Long Beach,New York,11561,Chocolate,Atlantic,CHO-FUD-51000,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8
9544,US-2024-158876-CHO-NUT-13000,2024-11-19,2030-05-14,Second Class,158876,United States,Carrollton,Texas,75007,Chocolate,Interior,CHO-NUT-13000,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2
9553,US-2024-158876-CHO-SCR-58000,2024-11-19,2030-05-14,Second Class,158876,United States,Carrollton,Texas,75007,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10,4.4
9562,US-2024-158876-CHO-SCR-58000,2024-11-19,2030-05-14,Second Class,158876,United States,Carrollton,Texas,75007,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,14.4,4,10,4.4
9565,US-2024-158876-CHO-SCR-58000,2024-11-19,2030-05-14,Second Class,158876,United States,Carrollton,Texas,75007,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1
1592,US-2021-139500-CHO-SCR-58000,2021-11-16,2027-05-13,Standard Class,139500,United States,Decatur,Illinois,62521,Chocolate,Interior,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2
1933,CA-2021-126634-CHO-FUD-51000,2021-12-20,2027-06-14,Second Class,126634,Canada,Vancouver,British Columbia,V5K,Chocolate,Pacific,CHO-FUD-51000,Wonka Bar - Fudge Mallows,18,5,12,6
2304,US-2022-131534-CHO-SCR-58000,2022-03-28,2027-09-23,Standard Class,131534,United States,Los Angeles,California,90036,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,18,5,12.5,5.5
2306,US-2022-131534-CHO-TRI-54000,2022-03-28,2027-09-23,Standard Class,131534,United States,Los Angeles,California,90036,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3
2528,US-2022-144043-CHO-TRI-54000,2022-05-10,2027-11-05,Standard Class,144043,United States,Louisville,Colorado,80027,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,15,4,9.8,5.2
2744,US-2022-115945-CHO-SCR-58000,2022-06-25,2027-12-22,Standard Class,115945,United States,Los Angeles,California,90045,Chocolate,Pacific,CHO-SCR-58000,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2
2746,US-2022-115945-CHO-TRI-54000,2022-06-25,2027-12-22,Standard Class,115945,United States,Los Angeles,California,90045,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
2750,US-2022-115945-CHO-TRI-54000,2022-06-25,2027-12-22,Standard Class,115945,United States,Los Angeles,California,90045,Chocolate,Pacific,CHO-TRI-54000,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9
