Entity,Code,Year,Electric cars sold,Non-electric car sales
China,CHN,2023,8100000,13215789
Denmark,DNK,2011,422,168378
Denmark,DNK,2012,502,172601.45
Denmark,DNK,2013,510,181632.86
Denmark,DNK,2014,1690,186087.78
Denmark,DNK,2015,4720,200497.39
Denmark,DNK,2016,1870,218130
Denmark,DNK,2017,1330,220336.66
Denmark,DNK,2018,4600,214447.62
Denmark,DNK,2019,9400,214409.53
Denmark,DNK,2020,32000,168000
Denmark,DNK,2021,65000,120714.29
Denmark,DNK,2022,57000,89153.84
Denmark,DNK,2023,80000,93913.05
Europe,,2010,1810,15081523
Europe,,2011,11410,15407509
Europe,,2012,28200,14071800
Europe,,2013,59000,13988619
Europe,,2014,96000,14449454
Europe,,2015,189000,15560999
Europe,,2016,213000,17537000
Europe,,2017,300000,17347058
Europe,,2018,400000,16991304
Europe,,2019,580000,16995758
Europe,,2020,1400000,12600000
Europe,,2021,2300000,11229412
Europe,,2022,2700000,10800000
Europe,,2023,3300000,12414286
European Union (27),,2010,1191,11908809
European Union (27),,2011,7460,11469464
European Union (27),,2012,19500,10243658
European Union (27),,2013,45000,9529468
European Union (27),,2014,57000,10121571
European Union (27),,2015,119000,10699182
European Union (27),,2016,119000,12023857
European Union (27),,2017,174000,13210616
European Union (27),,2018,250000,12907895
European Union (27),,2019,390000,13058275
European Union (27),,2020,1050000,9450000
European Union (27),,2021,1770000,8641765
European Union (27),,2022,2100000,7900000
European Union (27),,2023,2450000,8686364
Finland,FIN,2012,181,106289.586
Finland,FIN,2013,220,104541.91
Finland,FIN,2014,440,106877.07
Finland,FIN,2015,660,109339.99
Finland,FIN,2016,1420,116913.33
Finland,FIN,2017,3100,116130.77
Finland,FIN,2018,5680,115171.07
Finland,FIN,2019,7900,106592.75
Finland,FIN,2020,17200,78355.555
Finland,FIN,2021,30000,66774.195
Finland,FIN,2022,31000,50578.95
Finland,FIN,2023,48000,40888.89
France,FRA,2010,272,2266394.8
France,FRA,2011,2656,2210677.5
France,FRA,2012,6360,1920912.6
France,FRA,2013,9750,1829872.8
France,FRA,2014,13100,1885450.8
France,FRA,2015,23800,1959533.2
France,FRA,2016,30600,2155114.2
France,FRA,2017,38000,2197294
France,FRA,2018,48000,2352000
France,FRA,2019,64000,2306370.2
France,FRA,2020,185000,1496818.1
France,FRA,2021,310000,1513529.4
France,FRA,2022,340000,1360000
France,FRA,2023,470000,1410000
Germany,DEU,2011,1640,3152206
Germany,DEU,2012,3400,3087509
Germany,DEU,2013,6800,2949721.8
Germany,DEU,2014,13500,2986500
Germany,DEU,2015,23000,3127684.8
Germany,DEU,2016,24000,3219243.2
Germany,DEU,2017,54000,3321000
Germany,DEU,2018,67000,3283000
Germany,DEU,2019,108000,3492000
Germany,DEU,2020,390000,2395714.2
Germany,DEU,2021,690000,1963846.1
Germany,DEU,2022,830000,1847419.4
Germany,DEU,2023,700000,2216666.8
Greece,GRC,2015,57,73019.92
Greece,GRC,2016,97,80736.336
Greece,GRC,2017,190,86173.64
Greece,GRC,2018,298,102460.625
Greece,GRC,2019,480,113805.72
Greece,GRC,2020,2180,81666.16
Greece,GRC,2021,7000,94449.27
Greece,GRC,2022,8300,96763.29
Greece,GRC,2023,17000,104428.57
Iceland,ISL,2012,26,7852.7876
Iceland,ISL,2013,103,7254.143
Iceland,ISL,2014,229,9312.666
Iceland,ISL,2015,560,13798.974
Iceland,ISL,2016,1160,17252.697
Iceland,ISL,2017,3040,18674.285
Iceland,ISL,2018,3680,14720
Iceland,ISL,2019,3100,8823.077
Iceland,ISL,2020,4900,4523.077
Iceland,ISL,2021,9100,3900
Iceland,ISL,2022,12000,5391.304
Iceland,ISL,2023,12400,5064.7886
India,IND,2019,687,2861813
India,IND,2020,3143,2616023.8
India,IND,2021,12050,3430807.2
India,IND,2022,48023,3953893.5
India,IND,2023,82270,4031230
Israel,ISR,2012,601,221991.58
Israel,ISR,2013,477,226665.86
Israel,ISR,2014,58,263578.38
Israel,ISR,2015,68,283265.34
Israel,ISR,2016,68,309022.9
Israel,ISR,2017,1630,311831.56
Israel,ISR,2018,3730,307103.3
Israel,ISR,2019,4750,292125
Israel,ISR,2020,6900,258484.62
Israel,ISR,2021,24000,323826.1
Israel,ISR,2022,43000,315333.34
Israel,ISR,2023,65000,277105.25
Italy,ITA,2013,1040,1298960
Italy,ITA,2014,1340,1338660
Italy,ITA,2015,2240,1597760
Italy,ITA,2016,2700,1797299.9
Italy,ITA,2017,4900,1955100
Italy,ITA,2018,9700,1892260.9
Italy,ITA,2019,17500,1926944.5
Italy,ITA,2020,60000,1335348.8
Italy,ITA,2021,138000,1314631.6
Italy,ITA,2022,114000,1211581.4
Italy,ITA,2023,136000,1342260.9
Japan,JPN,2011,13015,4474916
Japan,JPN,2012,24000,5309333.5
Japan,JPN,2013,29000,5341370
Japan,JPN,2014,32000,5213901.5
Japan,JPN,2015,24000,4591385
Japan,JPN,2016,24400,4759914
Japan,JPN,2017,54000,4446000
Japan,JPN,2018,50000,4495454.5
Japan,JPN,2019,39000,4495883.5
Japan,JPN,2020,30000,3970000
Japan,JPN,2021,45000,3704999.8
Japan,JPN,2022,97000,3367285.8
Japan,JPN,2023,140000,3748889
Mexico,MEX,2015,99,1237401
Mexico,MEX,2016,770,1452060.2
Mexico,MEX,2017,1200,1394148.8
Mexico,MEX,2018,1800,1283914.2
Mexico,MEX,2019,1690,1205452.9
Mexico,MEX,2020,3800,840644.44
Mexico,MEX,2021,6500,896277.75
Mexico,MEX,2022,8400,935420.25
Mexico,MEX,2023,15200,1154030.8
Netherlands,NLD,2011,877,547248
Netherlands,NLD,2012,5090,503910
Netherlands,NLD,2013,22600,388309.1
Netherlands,NLD,2014,14700,362223.06
Netherlands,NLD,2015,42400,403915.78
Netherlands,NLD,2016,22000,357310.34
Netherlands,NLD,2017,11200,611022.25
Netherlands,NLD,2018,30100,610325.56
Netherlands,NLD,2019,69700,563936.4
Netherlands,NLD,2020,94000,493500
Netherlands,NLD,2021,110000,468947.38
Netherlands,NLD,2022,137000,389923.06
Netherlands,NLD,2023,210000,390000
New Zealand,NZL,2011,15,151500.16
New Zealand,NZL,2012,27,158796.52
New Zealand,NZL,2013,36,189437.69
New Zealand,NZL,2014,320,228251.42
New Zealand,NZL,2015,500,166166.66
New Zealand,NZL,2016,1540,195895.9
New Zealand,NZL,2017,3440,242274.3
New Zealand,NZL,2018,5600,261066.67
New Zealand,NZL,2019,6900,293100
New Zealand,NZL,2020,5400,332100
New Zealand,NZL,2021,10300,292641.16
New Zealand,NZL,2022,28200,228163.64
New Zealand,NZL,2023,38000,233428.58
Norway,NOR,2012,4220,131909.03
Norway,NOR,2013,8240,133828.95
Norway,NOR,2014,21700,122966.664
Norway,NOR,2015,33900,120190.91
Norway,NOR,2016,45000,110172.414
Norway,NOR,2017,62000,96974.36
Norway,NOR,2018,73000,75979.59
Norway,NOR,2019,79000,62071.43
Norway,NOR,2020,106000,35333.332
Norway,NOR,2021,148000,24093.023
Norway,NOR,2022,156000,19280.898
Norway,NOR,2023,110000,8279.57
Poland,POL,2010,16,333317.3
Poland,POL,2012,48,282304.94
Poland,POL,2013,37,284578.38
Poland,POL,2014,201,323992.56
Poland,POL,2015,220,360435.72
Poland,POL,2016,510,424490
Poland,POL,2017,1080,489829.1
Poland,POL,2018,1380,529389.25
Poland,POL,2019,2700,548320.4
Poland,POL,2020,8200,423378.94
Poland,POL,2021,16300,436477.78
Poland,POL,2022,25000,391666.66
Poland,POL,2023,30000,424545.47
Portugal,PRT,2011,172,156191.64
Portugal,PRT,2012,84,95370.55
Portugal,PRT,2013,185,108638.53
Portugal,PRT,2014,288,143712
Portugal,PRT,2015,1100,176319.36
Portugal,PRT,2016,1800,205096.55
Portugal,PRT,2017,4400,215600
Portugal,PRT,2018,8200,219577.78
Portugal,PRT,2019,12600,212400
Portugal,PRT,2020,19800,132507.69
Portugal,PRT,2021,29000,116000
Portugal,PRT,2022,34000,120545.45
Portugal,PRT,2023,63000,133875
Rest of World,,2012,448,12443997
Rest of World,,2013,211,12411554
Rest of World,,2014,550,12790147
Rest of World,,2015,4300,11311490
Rest of World,,2016,1580,9873420
Rest of World,,2017,2470,10736660
Rest of World,,2018,4000,10806811
Rest of World,,2019,8000,9748097
Rest of World,,2020,15200,8429244
Rest of World,,2021,26900,9580243
Rest of World,,2022,55900,8287383.5
Rest of World,,2023,126000,8274000
South Africa,ZAF,2014,15,441161.47
South Africa,ZAF,2015,240,413553.12
South Africa,ZAF,2016,380,379620
South Africa,ZAF,2017,198,373386.9
South Africa,ZAF,2018,148,360827.6
South Africa,ZAF,2019,232,362267.97
South Africa,ZAF,2020,242,246696.78
South Africa,ZAF,2021,271,307683.56
South Africa,ZAF,2022,620,364085.88
South Africa,ZAF,2023,1080,371333.8
South Korea,KOR,2015,3350,1519377.2
South Korea,KOR,2016,5030,1519212.4
South Korea,KOR,2017,14670,1529540.5
South Korea,KOR,2018,59400,1503757.9
South Korea,KOR,2019,35700,1516474
South Korea,KOR,2020,39700,1614466.6
South Korea,KOR,2021,91000,1477965.5
South Korea,KOR,2022,131000,1410176.5
South Korea,KOR,2023,132000,1538886
Spain,ESP,2011,398,811846.94
Spain,ESP,2012,540,709986.3
Spain,ESP,2013,882,734118
Spain,ESP,2014,1730,863270
Spain,ESP,2015,2080,1037920
Spain,ESP,2016,3500,1125532.2
Spain,ESP,2017,7400,1225933.2
Spain,ESP,2018,11600,1306581.9
Spain,ESP,2019,17400,1225457.1
Spain,ESP,2020,42000,815142.8
Spain,ESP,2021,67000,791974.3
Spain,ESP,2022,82000,839348.4
Spain,ESP,2023,122000,894666.7
Sweden,SWE,2012,930,299070
Sweden,SWE,2013,1530,287149.25
Sweden,SWE,2014,4600,323971.44
Sweden,SWE,2015,8700,353800
Sweden,SWE,2016,12900,366511.75
Sweden,SWE,2017,20400,379600
Sweden,SWE,2018,29100,353794.75
Sweden,SWE,2019,41000,331727.28
Sweden,SWE,2020,94000,199750
Sweden,SWE,2021,135000,178953.48
Sweden,SWE,2022,163000,138851.86
Sweden,SWE,2023,171000,114000
Switzerland,CHE,2011,441,314559
Switzerland,CHE,2012,740,320999.12
Switzerland,CHE,2013,1370,317234.66
Switzerland,CHE,2014,2900,299183.34
Switzerland,CHE,2015,5700,329594.1
Switzerland,CHE,2016,6100,314952.62
Switzerland,CHE,2017,8400,302711.1
Switzerland,CHE,2018,9500,287375
Switzerland,CHE,2019,17300,291628.56
Switzerland,CHE,2020,34000,208857.14
Switzerland,CHE,2021,54000,180782.61
Switzerland,CHE,2022,59000,167923.08
Switzerland,CHE,2023,76000,177333.33
Turkey,TUR,2014,68,566598.7
Turkey,TUR,2015,230,741705.5
Turkey,TUR,2016,127,976796.06
Turkey,TUR,2017,111,1008979.94
Turkey,TUR,2018,235,533855.94
Turkey,TUR,2019,324,483258.06
Turkey,TUR,2020,1290,757533.5
Turkey,TUR,2021,3920,708807.25
Turkey,TUR,2022,7540,677914.5
Turkey,TUR,2023,68700,618300
United Kingdom,GBR,2010,261,2007431.2
United Kingdom,GBR,2011,1207,1945567.2
United Kingdom,GBR,2012,2570,1974353.1
United Kingdom,GBR,2013,3700,2308800
United Kingdom,GBR,2014,14500,2443127.2
United Kingdom,GBR,2015,29000,2607363.5
United Kingdom,GBR,2016,39000,2746714.2
United Kingdom,GBR,2017,49000,2529947.5
United Kingdom,GBR,2018,62000,2322615.5
United Kingdom,GBR,2019,75000,2197727.2
United Kingdom,GBR,2020,178000,1440181.9
United Kingdom,GBR,2021,310000,1321579
United Kingdom,GBR,2022,370000,1238695.6
United Kingdom,GBR,2023,450000,1425000
United States,USA,2011,17800,11848866
United States,USA,2012,54000,12803143
United States,USA,2013,97000,13564972
United States,USA,2014,118000,15206676
United States,USA,2015,114000,16171715
United States,USA,2016,160000,16001616
United States,USA,2017,194000,14729077
United States,USA,2018,360000,15292174
United States,USA,2019,325000,15151191
United States,USA,2020,294000,12488609
United States,USA,2021,630000,12774256
United States,USA,2022,990000,12388378
United States,USA,2023,1390000,13241579
World,OWID_WRL,2010,7450,67719820
World,OWID_WRL,2011,49000,72009816
World,OWID_WRL,2012,120000,74880000
World,OWID_WRL,2013,201000,74243440
World,OWID_WRL,2014,330000,80157810
World,OWID_WRL,2015,550000,80332350
World,OWID_WRL,2016,760000,83684450
World,OWID_WRL,2017,1180000,83105710
World,OWID_WRL,2018,2060000,83773330
World,OWID_WRL,2019,2080000,77920000
World,OWID_WRL,2020,2980000,67972380
World,OWID_WRL,2021,6600000,67557304
World,OWID_WRL,2022,10200000,62657144
World,OWID_WRL,2023,13800000,62866668
